#{"t_start": 1775087702.8212574, "env_id": "None"}
r,l,t
-97.868719,110,1.054368
-90.582416,140,1.108367
-122.213431,138,1.160367
-104.491683,139,1.212368
-370.564434,286,1.321878
-202.135138,224,1.413392
-111.03858,101,1.453392
-105.279113,140,1.508393
-115.716661,109,1.552392
-74.121752,109,1.595392
-122.656482,170,1.662391
-121.421259,147,1.719391
-127.749195,146,1.775408
-108.450455,137,2.555925
-90.055242,123,2.603926
-109.926253,184,2.680925
-97.110086,166,2.749927
-52.191317,105,2.789926
-49.559641,116,2.833925
28.889736,102,2.872926
-131.435975,167,2.935926
-67.546824,112,2.978925
-59.307521,116,3.022925
-93.429242,106,3.062926
-189.785779,200,3.139925
-124.67513,112,3.181926
-79.789694,105,3.221926
-137.758135,170,3.286926
-147.097856,205,4.093565
-125.367511,131,4.144566
-167.520062,154,4.208566
-210.202633,211,4.293566
-106.641097,144,4.348569
-88.775621,154,4.407693
-328.59746,274,4.514268
-128.385862,138,4.566266
-238.533749,343,4.695266
-145.911131,186,4.768267
-95.879024,113,4.811269
-107.896172,211,5.626608
-195.921692,170,5.698607
-41.834886,125,5.752609
-207.497743,204,5.836609
-81.195042,108,5.877609
0.127896,114,5.922609
-76.348859,96,5.959609
-43.91082,133,6.009609
-41.718914,101,6.047608
-128.866095,230,6.135609
-188.267325,135,6.186609
-100.819917,107,6.227608
-75.654796,112,6.269608
-81.877735,104,6.308609
-132.830246,164,6.37112
-244.538536,269,7.252122
-40.204183,140,7.31112
-60.991205,138,7.367629
-213.393744,197,7.44363
-160.463419,139,7.496628
-68.002405,201,7.574628
-126.842897,252,7.670629
-3.216445,117,7.714629
11.169632,126,7.761629
-185.504107,174,7.828629
-110.798003,109,7.869628
-63.254277,99,7.906628
-93.688992,134,8.695138
-171.969833,162,8.767138
-44.993825,123,8.817138
-42.384135,96,8.857138
-57.554902,105,8.898139
-206.031229,313,9.023664
-129.840589,96,9.059664
-148.464971,227,9.147664
-422.372672,240,9.239664
-25.101437,97,9.276665
-24.734371,173,9.341667
-129.982349,99,9.379177
-195.733714,182,9.450994
-137.860248,205,10.290274
-85.197288,110,10.337277
-118.066516,122,10.392791
-87.20217,116,10.443574
-102.845067,138,10.497577
41.517132,288,10.608575
-79.742985,155,10.667575
-185.034929,206,10.746575
-112.488032,132,10.797575
0.686826,106,10.838575
-88.127652,104,10.877576
-113.036136,121,10.923575
-307.375941,224,11.009575
-362.294271,369,11.903085
-257.998484,209,11.992086
-124.808093,135,12.046086
-121.107674,100,12.084086
-185.638118,264,12.185086
-73.382001,112,12.228086
-9.635726,129,12.279086
-46.089765,119,12.324086
-38.29208,135,12.374324
-65.472873,143,12.428324
-94.848038,154,12.487324
-314.576584,270,12.592324
-287.912599,275,13.436404
-62.180178,151,13.503402
-203.956678,201,13.585401
-166.845708,167,13.649401
-329.571433,516,13.850402
-124.02066,96,13.886402
161.725732,155,13.947402
-53.579847,117,13.997547
-127.831242,101,14.036547
-90.118839,149,14.094548
-155.817756,113,14.138548
-153.058638,153,15.024882
-96.734373,138,15.098459
-165.858036,192,15.195462
-99.587123,127,15.259458
-178.119131,195,15.357969
