#{"t_start": 1774671850.5219896, "env_id": "None"}
r,l,t
581.462883,597,1.528662
1102.175449,1000,1.9426
1266.936767,1000,3.423664
-196.697441,493,3.612722
1121.863038,1000,3.984483
851.552747,808,5.176883
913.905776,971,5.568542
1029.858252,590,6.699282
268.415645,229,6.79353
236.509069,268,6.894376
785.652275,401,7.038641
1079.247844,714,7.295674
1353.511091,1000,8.434395
887.918839,622,8.659853
1450.842659,1000,9.810524
1410.569781,1000,10.177241
1350.523074,1000,11.462443
1313.070065,1000,11.836243
489.118097,283,11.939639
1195.36304,667,12.929672
489.013845,263,13.03536
670.342177,448,13.198228
804.011214,398,13.341915
1554.304342,1000,14.477122
1329.382275,668,14.724509
570.973264,285,14.827415
808.123469,410,14.973193
524.676217,271,15.07037
1727.149578,990,16.169444
1251.563977,1000,16.52715
385.06238,232,17.384521
714.048277,376,17.541475
375.049848,236,17.626276
408.840215,243,17.714415
452.381021,257,17.806119
667.949042,353,17.933562
1269.912739,690,18.921486
477.447455,271,19.035248
1232.127454,1000,19.3936
390.995089,248,19.482316
576.790552,287,19.584355
1659.188222,1000,20.726413
1565.618787,849,21.039827
1535.762126,1000,22.160756
1260.252992,928,22.492701
710.766961,554,23.446101
532.438294,281,23.556783
744.418462,406,23.703341
1002.500274,565,23.909119
499.578117,265,24.004018
600.102091,308,24.861136
515.669409,271,24.97027
1833.524172,1000,25.34681
1035.80388,647,25.579364
402.115965,249,26.422171
998.41009,545,26.635045
430.267745,251,26.725724
502.580627,275,26.825672
1441.023079,1000,27.931113
1343.472189,764,28.216454
615.744724,327,28.33648
1000.543091,629,28.562038
806.12446,417,29.470009
1049.484997,597,29.695691
388.397215,236,29.781069
487.098592,255,29.873031
735.352882,411,30.021874
368.309398,241,30.109271
1425.37876,887,31.426913
401.412782,238,31.514174
660.900678,374,31.650944
538.869217,276,31.753028
552.524553,290,31.861938
933.510214,486,32.923778
707.029956,401,33.074033
737.87379,505,33.261893
1692.463243,1000,34.500011
757.805842,433,34.672014
806.795693,573,34.894536
403.802323,252,34.989234
944.71597,482,35.166785
912.422666,483,36.260797
1504.251995,1000,36.640288
781.063971,410,36.792384
624.178915,372,37.885533
628.002803,434,38.066387
557.326946,291,38.173126
490.703577,281,38.275834
1098.34611,759,38.556538
1373.220262,1000,39.853833
493.224827,256,39.948963
414.847323,251,40.04389
1100.665708,892,41.318152
1086.61687,485,41.513193
1019.195122,728,41.787927
719.726581,515,41.98311
567.826092,292,43.02304
1141.409545,695,43.305655
476.158373,257,43.404006
378.941088,245,43.496948
543.307557,284,43.61201
397.96352,249,43.705135
423.739006,260,44.741173
400.854268,248,44.860924
