#{"t_start": 1774878043.4952009, "env_id": "None"}
r,l,t
290.56003,195,1.060954
310.276379,267,1.162651
369.564364,193,1.235712
426.925755,295,1.347428
357.553005,351,1.481231
379.754642,202,1.559841
286.408492,399,1.711078
280.065938,186,2.532547
391.025916,242,2.640163
305.315876,184,2.718222
200.284587,179,2.786618
520.578755,198,2.860733
359.692186,194,2.934663
377.537864,205,3.012925
515.057683,219,3.096045
351.462501,256,3.195124
298.278338,187,3.266267
476.484274,231,4.139787
353.690157,283,4.255873
268.777467,334,4.389469
227.971554,186,4.460018
367.123004,201,4.536076
363.150526,238,4.626644
385.94819,197,4.704006
422.239591,229,4.792494
287.154073,204,4.871095
516.112581,348,5.80816
397.429569,225,5.907387
368.246102,242,6.00107
524.939179,248,6.096216
429.925741,209,6.176608
349.323447,302,6.292417
426.866611,347,6.425526
515.702734,234,7.348673
471.849557,301,7.485841
304.587577,197,7.571401
420.047762,328,7.702711
319.849221,220,7.796235
142.755725,454,7.996132
318.183926,226,8.089549
379.977104,196,8.170672
384.063617,198,9.168404
537.778463,286,9.298691
402.016296,325,9.42797
348.09894,195,9.502103
380.753088,270,9.605819
210.565295,218,9.689452
394.494554,227,9.77653
190.859582,242,9.868605
419.81255,225,10.738464
344.012234,209,10.831053
343.889259,203,10.930837
351.964567,198,11.012626
121.667185,312,11.139258
278.374239,191,11.214342
389.91157,244,11.308957
334.37443,204,11.387028
485.391636,212,11.473634
377.288863,341,12.392132
350.334877,261,12.507213
345.82907,287,12.622458
438.5664,361,12.761923
361.907332,236,12.851996
325.65658,202,12.930058
385.160123,230,13.018136
372.945776,287,13.128235
436.04156,253,14.01571
381.40134,208,14.108438
215.034727,312,14.229552
281.911722,220,14.313387
296.098266,433,14.478176
349.614852,207,14.556281
396.527722,448,14.726557
63.793089,261,15.583908
459.759132,226,15.682989
174.082324,345,15.816463
404.823281,199,15.892539
303.673692,195,15.966313
335.018756,362,16.103526
126.053863,330,16.229155
494.15972,273,17.10829
245.379903,329,17.253608
505.605544,407,17.414919
326.279445,293,17.527236
460.769777,275,17.632956
-150.985068,411,17.791998
354.13021,228,17.880341
378.497447,220,18.82202
317.39987,188,18.905284
363.342187,226,18.993947
340.728348,329,19.119141
98.753661,407,19.275029
334.473909,304,19.390291
302.35899,251,19.489188
352.694149,204,20.353415
330.165666,332,20.505207
404.36177,188,20.593171
393.76055,219,20.714506
478.857882,254,20.835833
481.505245,434,21.074459
380.606242,263,21.212019
404.750746,391,22.348462
381.990787,225,22.455212
341.456583,208,22.545398
195.047003,275,22.651486
267.014445,192,22.724335
520.422834,272,22.834316
417.005943,206,22.919141
415.601591,228,23.01431
331.98267,231,23.124866
382.929193,210,24.127316
419.622689,293,24.280285
468.420395,238,24.384217
636.775064,496,24.589466
415.703159,215,24.676797
317.553582,233,24.768035
428.460637,222,24.856807
371.363263,233,24.981518
84.400338,350,26.275969
360.736856,223,26.373103
497.316967,390,26.539385
464.605697,221,26.643413
260.806962,273,26.765254
345.131894,202,26.849484
399.038141,286,26.96689
359.806561,208,28.21165
413.582095,249,28.346285
459.028882,268,28.471872
298.154803,252,28.576959
372.810071,211,28.667928
419.146285,196,28.759949
368.521619,346,28.913771
344.233518,293,29.046021
254.476469,334,30.220197
274.047058,260,30.345021
267.552376,237,30.439382
379.336687,203,30.520186
137.905583,461,30.703202
421.273906,223,30.789976
177.307009,417,30.956443
263.674127,436,32.020145
332.67272,208,32.105885
389.06282,209,32.19162
356.960364,213,32.282943
257.631803,263,32.392987
387.404592,242,32.491503
310.713215,196,32.567756
362.792018,281,32.68515
263.960287,198,33.646981
261.801637,202,33.753816
401.229215,328,33.925697
335.681847,189,34.017081
272.514435,205,34.12602
374.786913,202,34.23587
370.965728,302,34.381811
288.517771,213,34.476128
525.265096,242,34.595042
425.607425,214,35.82485
390.097591,240,36.128514
221.589938,317,36.298037
626.566252,446,36.52896
327.260469,383,36.788851
582.849833,344,36.933739
317.671138,194,37.995722
412.255796,199,38.107059
275.983005,198,38.214093
306.69448,262,38.327877
322.6083,438,38.515049
447.085443,210,38.606143
396.288679,265,38.731456
402.741926,279,38.851522
513.080418,316,39.856019
241.576502,314,40.004903
280.630839,190,40.083648
443.909976,239,40.179939
381.864341,317,40.315612
375.134174,205,40.404025
80.227181,306,40.524923
218.910122,382,41.557556
411.505918,241,41.672922
94.131393,371,41.823872
535.260275,280,41.937526
364.059047,204,42.021211
291.511731,240,42.117584
147.485859,387,42.271189
615.401253,361,43.339189
330.861685,245,43.455899
414.42422,372,43.607906
388.966667,295,43.722738
482.780115,202,43.801248
521.412386,267,43.907974
358.281721,216,43.993676
302.16906,220,44.079907
343.121594,221,45.067708
505.302337,250,45.184533
260.226949,216,45.276796
320.911157,356,45.424022
450.46842,216,45.516867
302.00948,656,45.788624
402.295495,197,45.86901
478.450527,301,46.907727
317.148203,276,47.035536
709.575953,456,47.218635
357.076852,268,47.332862
446.033293,319,47.469913
107.527414,304,47.597744
588.892375,340,48.692636
225.680647,261,48.817735
414.79315,373,48.964943
385.435067,215,49.051199
398.687103,510,49.253649
364.896334,305,49.372817
432.224269,267,50.361353
390.284452,246,50.479649
296.206795,327,50.633747
406.441726,292,50.748493
312.12458,505,50.977551
424.709688,244,51.10488
345.474984,200,51.185682
204.1113,335,52.18388
263.149729,355,52.352489
435.72445,303,52.478567
263.193657,344,52.614806
195.408365,354,52.753677
364.318111,205,52.833546
323.451367,242,52.931005
387.603402,354,53.950621
388.853785,230,54.054712
341.165416,282,54.167726
653.890197,414,54.349021
700.268236,455,54.542682
422.426965,310,54.68383
373.460831,246,55.680449
278.701155,302,55.836638
583.031176,312,55.966486
225.570057,365,56.121042
435.564564,328,56.25366
397.772586,324,56.393836
380.94644,291,57.622813
564.019732,260,57.764566
650.518606,298,57.925511
403.941637,249,58.072745
-6.356256,399,58.298177
344.180388,427,58.483403
321.610584,199,58.561805
430.921364,215,59.535625
238.948122,356,59.714804
174.596286,325,59.850379
441.143202,292,59.967376
387.537854,248,60.064543
810.442378,419,60.227685
130.838834,343,60.367433
519.21446,313,61.353627
471.231371,217,61.451711
391.230675,417,61.616696
262.627829,389,61.767492
310.601219,424,61.932736
415.026745,237,62.025749
449.453873,270,63.002612
503.214826,359,63.167413
417.548391,370,63.312628
358.960679,337,63.44332
409.492513,306,63.560755
379.474337,407,63.722714
381.705906,268,64.72559
506.450992,351,64.889556
535.040941,205,64.970229
391.149858,225,65.057632
312.366155,349,65.192316
459.64064,303,65.314487
452.125213,356,65.474794
385.972259,304,66.556722
449.703531,483,66.763686
325.234413,400,66.921544
296.453691,387,67.073313
376.51471,472,67.26122
508.790409,348,68.312446
857.049572,403,68.483531
394.274115,506,68.688381
790.310104,405,68.846488
378.457282,229,68.934625
412.684583,331,69.930935
251.838606,343,70.097562
342.352122,202,70.176182
566.070851,207,70.256276
350.430509,372,70.404269
495.036682,367,70.550053
509.275641,253,70.647197
357.420676,411,71.705133
284.513169,463,71.953416
