#{"t_start": 1775088682.2101612, "env_id": "None"}
r,l,t
-101.049979,105,1.100841
-81.334084,120,1.147402
-27.844844,153,1.205966
-91.876067,101,1.24349
-49.617207,110,1.286104
-125.709999,155,1.345315
-6.679114,102,1.384601
-73.730379,168,1.449682
-235.881997,257,1.547958
-143.8844,209,1.629065
-64.135042,111,1.671623
-97.949525,104,1.711167
-122.6901,125,1.759369
-65.478259,148,1.815493
-31.491868,113,2.621201
-67.851564,124,2.674743
-1.411587,144,2.736568
-368.949842,287,2.854762
-98.258491,145,2.911423
-104.587205,105,2.952037
-94.479916,101,2.990668
-216.557785,188,3.063497
-224.718271,205,3.14347
57.988674,132,3.193603
-40.446621,119,3.239678
-117.714375,136,3.292804
-207.377555,208,3.372983
-293.024976,241,4.240152
-14.307563,112,4.28569
-54.598072,135,4.348442
-1.851602,105,4.395881
-118.492673,116,4.440438
-15.188455,96,4.476993
-70.817544,98,4.51358
-208.660172,261,4.616279
-171.662949,182,4.686988
-112.428421,99,4.724846
-65.884919,180,4.794961
-83.866746,109,4.837689
-93.790826,97,4.875062
-362.506545,245,4.972406
-75.163177,156,5.857369
-112.128001,140,5.91942
-133.439163,124,5.981482
-146.024447,178,6.058921
-87.355568,121,6.104482
-119.589525,127,6.15277
-57.227933,156,6.214476
-145.953977,144,6.270982
-37.666123,130,6.321562
-158.965437,140,6.377662
-62.732041,120,6.42628
-129.020911,123,6.474373
51.928695,120,6.521962
-220.741015,253,6.623642
-66.120415,178,7.624345
-92.551894,113,7.680898
-101.697441,244,7.796807
-166.266337,163,7.863636
-130.749198,124,7.913721
-213.993154,219,8.001482
4.899925,125,8.051047
-14.945864,111,8.093208
-155.292088,158,8.154778
-148.038554,168,8.219361
-82.724157,150,8.277528
-99.211977,103,8.318317
-101.364782,157,8.382578
-54.340944,104,8.422262
-119.128675,96,9.391745
-29.678131,104,9.44986
-105.464218,121,9.516655
-62.618568,134,9.582456
-168.58785,116,9.63766
-117.352345,108,9.686602
-95.285758,111,9.735658
-125.687143,117,9.784399
-454.313186,294,9.909912
-107.444101,105,9.957935
-90.185387,141,10.019773
-92.617146,132,10.090754
23.295763,150,10.170289
-91.396919,110,10.230756
-88.492178,155,10.324645
-84.948942,110,11.491148
-57.158689,99,11.545905
-211.092039,308,11.733453
7.785653,143,11.799436
-145.700667,188,11.886883
-132.049754,114,11.937659
-80.716572,112,11.987231
-97.002293,131,12.053504
-74.855892,95,12.095941
-103.95784,118,12.146178
-70.223999,108,12.190744
-192.242906,241,12.297843
-106.228271,100,12.339902
-184.316516,181,12.421113
-141.002847,156,13.495676
-93.857694,97,13.546264
-234.623522,223,13.664328
-104.395426,120,13.719318
-87.36069,119,13.769216
-104.264679,227,13.864944
-219.969477,221,13.958178
-41.626942,99,13.998348
-29.079549,108,14.044818
-43.522063,97,14.087863
-75.332465,97,14.127413
-183.360142,200,14.21211
-189.464796,337,14.353342
-114.183012,112,15.430638
-129.095268,93,15.473299
-262.750711,297,15.625816
-204.774948,195,15.706908
-130.951909,135,15.76346
-123.864831,107,15.809006
-48.648379,256,15.916352
-92.853042,111,15.963233
-192.918588,172,16.038274
-166.903716,151,16.10133
-704.075095,430,16.280503
15.029729,139,17.218915
4.893485,153,17.297047
-65.190416,195,17.390192
-79.551331,138,17.447792
-210.462427,224,17.53981
-132.271936,120,17.590365
-306.57388,295,17.717539
36.047546,104,17.762173
-132.718009,180,17.84317
-64.23704,108,17.892187
-76.508208,129,17.95129
-70.730143,135,18.008135
-42.813082,150,18.074535
-157.664689,174,19.035657
-92.208842,175,19.120948
-53.773996,197,19.21204
7.506963,161,19.279192
-111.886239,98,19.31936
-38.9406,128,19.37231
-140.412015,267,19.48452
45.522602,126,19.53609
-32.82839,146,19.596409
-222.398302,273,19.710399
-117.166306,174,19.781129
-72.647941,204,20.778936
-163.905199,202,20.882778
23.993911,121,20.944847
-226.59102,226,21.037689
-123.83381,117,21.094553
-92.048904,159,21.160127
-60.800917,108,21.204178
-352.234111,214,21.292871
-91.081939,197,21.374125
-60.395586,154,21.437182
-56.753909,104,21.48022
-68.172516,113,21.52628
-35.780477,102,21.567308
-124.356977,226,22.541948
-243.187552,195,22.640131
-89.820914,174,22.72482
-61.113195,103,22.767528
-123.31241,136,22.823489
-35.782494,100,22.864671
-56.35264,99,22.904214
-122.354342,98,22.945255
1.798669,199,23.028073
-159.092585,242,23.127223
45.132224,115,23.174254
-169.75893,249,23.278133
-59.722882,237,23.375367
-70.297811,112,24.282648
-56.767085,122,24.345217
21.735585,136,24.410346
-99.120671,179,24.734154
-116.816483,218,24.835065
-326.869308,338,24.978494
-165.115651,158,25.047415
-2.031957,120,25.096634
24.465025,115,25.144206
-142.117771,126,25.196776
-129.398159,122,25.247851
-82.712045,142,25.307065
-36.815694,123,25.356239
-92.470123,96,26.321138
9.247678,101,26.373175
-5.266795,115,26.431263
-128.631405,111,26.48786
-51.514168,118,26.54124
-94.03156,114,26.588357
52.331403,234,26.685324
-201.097029,176,26.758396
63.995833,197,26.840679
-138.020566,162,26.907869
-111.262825,107,26.951902
-100.261641,98,26.991525
22.063629,138,27.048087
-338.101231,347,27.190157
-50.965433,123,28.12922
-14.607302,148,28.202787
-23.27074,136,28.272473
-100.215536,151,28.336124
-70.898901,246,28.43752
-54.21995,145,28.497131
-159.581723,114,28.542683
-13.834682,150,28.604247
-285.410157,335,28.742814
23.469658,133,28.797876
1.932045,151,28.861956
-106.163577,151,28.923043
-90.247325,111,29.840252
-113.682749,125,29.902333
-117.883,126,29.966933
-30.843798,115,30.026648
38.149131,128,30.090732
-162.052249,132,30.160174
-109.837196,106,30.216294
-252.285555,210,30.326719
-32.428866,137,30.396139
-115.167022,111,30.46138
-76.282874,148,30.522302
-96.762628,226,30.614395
-239.948476,234,30.710634
-190.513098,229,31.678909
-110.29222,120,31.737464
53.666117,110,31.794005
-258.001997,291,31.92803
-365.33015,305,32.054861
-26.369355,108,32.099463
-62.304994,128,32.15115
-85.135008,141,32.209209
-19.278669,135,32.263938
-168.783761,233,32.362157
-52.347244,119,32.410221
-97.349139,139,32.466299
-15.604424,176,32.538499
-98.779172,115,33.465353
-73.749411,114,33.523018
-73.702581,159,33.601149
31.754051,134,33.658642
-207.008003,226,33.750353
-514.406885,372,33.903066
89.40508,222,33.994315
-85.449517,208,34.080381
-105.128199,118,34.128448
-70.824131,189,34.205517
-77.100207,156,34.268501
-444.89437,451,35.384153
-36.701225,111,35.430212
-71.808788,161,35.511366
-49.853014,142,35.570514
-84.219606,112,35.615583
-130.503691,233,35.725695
-210.816475,239,35.829016
-159.351798,126,35.882155
-280.336189,289,36.001347
-65.005398,146,36.060847
-70.093,119,36.992502
-21.395412,97,37.037239
-39.094986,127,37.099293
-219.339,272,37.225031
17.284041,139,37.285424
-60.377324,130,37.342508
-77.541843,114,37.394761
-116.43769,96,37.436837
-83.388093,171,37.516022
-100.246843,103,37.560265
12.63562,121,37.609747
43.94666,118,37.658768
-324.837699,272,37.770341
-252.329803,226,37.864619
-246.229644,289,38.862817
-29.284145,142,38.934974
116.128188,151,38.999025
-112.054366,120,39.046946
20.799927,203,39.132949
-470.21853,397,39.300313
10.374059,135,39.35584
14.782944,119,39.40448
-38.9049,238,39.65806
-360.825328,322,40.746656
-91.952008,173,40.821294
-32.737348,99,40.862335
-83.369196,118,40.914377
-61.7243,135,40.972294
68.127046,101,41.013004
-74.761275,200,41.096201
-184.037644,246,41.197264
9.139137,103,41.238563
9.765726,162,41.305849
-34.58925,135,41.361356
-95.081789,268,41.474454
-103.179061,149,41.536005
120.41661,242,42.528568
-271.922658,278,42.662404
45.74712,142,42.722964
-8.687402,165,42.790421
-27.164391,189,42.868654
-16.454261,111,42.914194
-72.160547,121,42.963241
-273.654516,249,43.066939
-0.857745,130,43.119308
-27.805249,218,43.207834
-39.37088,156,43.271227
5.964049,111,43.31745
9.119094,176,44.268252
-149.410733,200,44.369395
-254.633288,272,44.491781
-19.385081,131,44.545525
-103.364002,141,44.60408
-63.079275,165,44.671174
-17.360516,99,44.710938
44.753809,141,44.768999
-94.549071,196,44.850211
-216.760676,373,45.003786
-35.220082,106,45.047168
-81.107147,120,45.978794
-23.995865,130,46.040742
-63.965786,115,46.097895
58.300238,127,46.160947
-87.275405,109,46.210733
-64.417947,124,46.262282
-172.834182,200,46.344441
-93.581129,97,46.382969
81.983511,127,46.435756
-80.682129,178,46.508538
-14.207829,178,46.584096
22.633723,123,46.634021
-221.025683,248,46.736112
-84.286478,149,46.797795
-138.970143,148,47.762064
-294.921565,293,47.907762
-286.049581,262,48.027743
-172.190517,188,48.106734
101.557791,103,48.148271
-109.03696,153,48.213835
-4.978332,197,48.301166
-68.065297,235,48.417506
-436.914754,333,48.562597
-343.197728,295,49.587873
-24.005519,129,49.653948
-87.101554,119,49.711511
-45.960634,101,49.760561
-105.661222,168,49.835551
-193.370242,201,49.918198
7.198369,144,49.976776
-1.329667,111,50.022249
-103.343703,213,50.137201
-147.477765,139,50.212481
-97.89579,98,50.263122
-134.325363,138,50.335999
-104.977374,215,50.447731
4.362015,120,50.503947
38.591725,112,50.558373
-32.775003,141,51.522633
2.369195,345,51.694155
-102.994942,213,51.782747
-35.66398,270,51.895541
-76.312613,187,51.972165
51.318936,143,52.030732
-422.048715,286,52.14733
-88.531813,116,52.195868
12.393811,158,52.260242
-190.924028,207,52.34489
-32.943021,103,53.279375
-86.00744,269,53.419089
-62.342115,193,53.499706
-99.115189,178,53.572347
-92.570934,106,53.617089
-270.299475,206,53.702774
-167.097988,164,53.770349
-7.832524,146,53.831414
-85.041756,108,53.874962
-157.528375,163,53.941957
18.402634,207,54.026933
2.825408,113,54.072503
-94.712599,221,55.443651
5.974763,103,55.494231
-198.763859,167,55.57882
-18.679623,133,55.641505
-16.639723,209,55.730088
-73.956991,123,55.782264
-45.462539,146,55.844337
-51.939271,212,55.94924
90.069341,98,55.989838
-101.930831,129,56.042825
-80.471747,243,56.143055
-46.630171,142,56.20213
-58.346437,219,56.295671
-141.620389,153,57.264268
-33.368587,136,57.332134
-273.881929,300,57.465311
-54.311231,193,57.546343
-115.54264,128,57.598882
143.153177,141,57.657016
-23.317776,131,57.711807
87.194571,182,57.786933
-119.108855,108,57.830744
-128.990801,136,57.886208
-31.337411,137,57.942377
34.077719,134,58.000423
-44.257612,153,58.062544
0.933834,135,59.010832
71.169017,135,59.075955
12.914843,218,59.179049
-228.493672,327,59.316555
-45.496322,135,59.371602
-109.470736,101,59.413804
-72.734592,115,59.459826
-26.381419,100,59.500873
-144.897802,171,59.571497
-20.259881,125,59.621817
-72.691024,131,59.674961
-67.644448,210,59.762673
-77.732296,98,59.801704
117.748307,173,60.852614
-34.719322,127,60.91509
87.651693,259,61.04051
-239.133563,262,61.149609
125.821445,158,61.215018
-36.023248,96,61.257186
-276.12548,362,61.406955
-211.984637,215,61.495615
-2.513637,117,61.542157
-91.859788,100,61.583702
-261.401857,212,61.670283
-26.69609,166,62.605488
-37.346739,225,62.715627
-37.005451,300,62.844826
-72.129606,214,62.93186
-25.799594,108,62.976652
-124.473854,126,63.030124
-75.996699,111,63.092741
81.35415,161,63.159439
-141.402303,254,63.264182
-19.389101,198,63.349793
-197.260094,349,64.38937
49.397048,120,64.451436
-29.798572,99,64.502493
-721.029221,522,64.72662
-339.519126,269,64.837531
-79.765389,107,64.882715
-223.335257,194,64.962682
-241.81738,202,65.045855
-5.608937,106,65.089886
-154.196631,188,65.167382
-102.750003,153,66.120839
-72.45144,190,66.217031
-83.832678,111,66.274692
12.051232,124,66.333763
-62.605451,147,66.401882
-101.339136,206,66.486961
-35.574183,148,66.547523
-163.958156,180,66.620794
-56.517564,143,66.680375
-64.413026,135,66.735843
-636.423454,368,66.889699
-54.087833,110,66.935535
-164.185952,212,67.908769
-65.020039,201,68.011862
-23.915639,151,68.085957
-45.429494,197,68.167592
-455.851961,323,68.300477
-616.161198,420,68.474845
-49.816663,128,68.526938
-16.046688,106,68.571483
-397.710719,278,68.684527
-286.403945,336,69.952446
-94.250707,139,70.023645
-190.423861,221,70.138404
-133.966039,158,70.224421
-7.98579,177,70.316195
-249.25336,212,70.428541
-21.075248,125,70.490859
-95.524867,97,70.533697
-130.303898,159,70.600007
-139.132834,102,70.64059
-99.352149,119,70.69976
-86.593127,231,70.799459
-11.094168,203,71.747221
-127.734123,195,71.842176
-215.564027,198,71.940236
-13.099353,167,72.009967
-11.542617,159,72.076036
-24.726676,112,72.122092
-45.317261,96,72.161255
-167.557105,233,72.259859
-265.22954,264,72.36888
-94.728769,158,72.43496
-93.49443,119,72.483506
87.716426,146,72.543832
-37.856969,152,73.461074
56.271079,129,73.518124
-109.867254,118,73.576263
-41.94495,109,73.629828
-188.932764,192,73.713409
-49.573527,221,73.806454
-300.813784,238,73.904767
-113.582422,202,73.990219
-45.782609,222,74.082098
-74.556631,175,74.153941
-111.878502,164,74.222554
-88.955566,180,74.296136
-18.172495,147,75.242558
-51.639007,140,75.311403
128.912324,230,75.430531
-39.872764,122,75.483366
-219.485252,243,75.582283
-68.761781,167,75.685665
34.650031,309,75.814637
-45.699555,148,75.875856
-22.350899,145,75.935518
36.387776,203,76.089452
-148.118684,202,76.171678
-320.225125,350,77.204015
47.887264,135,77.267606
14.780992,103,77.310259
-35.353363,281,77.425593
-5.341562,146,77.487869
4.466187,122,77.537407
-273.991756,377,77.693325
-81.565824,238,77.791807
-619.799992,453,79.030241
-153.035399,170,79.116916
-110.852164,125,79.180051
-135.90813,135,79.23721
10.630276,121,79.287639
-23.09579,218,79.377607
-89.931921,392,79.54047
-230.795289,344,79.682392
-81.868284,146,79.74472
-36.98567,127,79.79668
-211.506594,223,80.801559
90.461226,239,80.919183
-89.750773,236,81.035529
-183.44242,247,81.146363
-80.150182,152,81.208235
61.162551,183,81.284524
-0.880709,122,81.334537
-70.236891,128,81.390897
-96.482408,157,81.45497
-118.927881,123,81.507556
-226.629153,288,81.625614
