#{"t_start": 1774716299.04005, "env_id": "None"}
r,l,t
157.43211,199,1.128634
121.64431,204,1.204066
229.999467,1000,1.609939
513.877693,889,2.861368
231.086057,238,2.964373
409.253196,754,3.250975
457.348244,909,4.414252
87.364214,313,4.562251
429.935005,732,4.854231
167.632282,602,5.086792
302.004279,431,6.1152
202.041782,518,6.342337
513.228485,1000,6.726173
571.536976,933,7.971454
823.207362,1000,8.354047
349.21576,706,9.499574
144.09976,371,9.663259
623.570385,1000,10.046286
590.100791,1000,11.275322
464.357848,1000,11.659054
277.373819,760,12.855485
605.82158,1000,13.25762
605.903968,1000,14.595555
491.097444,1000,15.042409
354.800796,1000,16.351896
440.855893,1000,16.774084
854.244264,726,17.063023
466.388323,982,18.386585
172.877452,287,18.503224
214.602277,1000,19.785969
393.478204,749,20.118971
458.339703,632,20.374216
1198.272824,851,21.623859
227.704783,209,21.725131
137.866287,899,22.104238
567.000141,574,22.40424
682.17788,1000,23.75588
807.786042,1000,24.179381
914.232238,1000,25.503124
620.439104,1000,25.903999
940.989016,897,27.261066
567.850188,1000,27.677941
664.669466,630,28.890277
76.073309,697,29.258547
434.187463,328,29.596542
213.926889,1000,31.081065
265.81307,475,31.284987
920.186733,732,31.583788
52.393209,638,32.769982
447.257338,387,32.95754
691.389534,530,33.18377
417.69166,327,33.334239
520.738158,332,33.465992
109.97733,630,34.721453
617.820695,704,35.056352
520.449069,385,35.212564
636.642374,1000,36.592103
181.507216,206,36.692074
186.769322,400,36.862092
449.413338,343,36.9988
450.924269,335,37.133778
1147.396163,1000,38.571003
421.924634,564,38.817463
419.78243,310,38.943788
443.226524,1000,40.385075
401.474802,1000,40.805259
527.664429,1000,42.27547
646.801271,543,42.555844
678.556343,1000,43.005965
546.282716,525,44.260756
374.592131,1000,44.706486
709.886773,1000,46.009121
1057.786963,1000,46.432873
355.697129,845,46.765524
412.515699,1000,48.098917
421.392744,438,48.278126
554.325348,359,48.42363
765.010895,607,49.585293
527.816254,472,49.78173
190.113687,565,50.073465
325.284011,597,50.324611
1039.673174,1000,51.731845
600.756741,863,52.178007
501.810742,446,53.419949
600.329879,504,53.690377
622.729493,482,53.945825
728.014781,1000,55.336867
503.680514,287,55.477645
531.393569,1000,55.870998
430.77394,388,56.023658
531.718456,653,57.351969
708.080816,1000,57.791384
563.724155,824,59.157695
