#{"t_start": 1775150743.2208438, "env_id": "None"}
r,l,t
5227.630978,4139,4.47268
5479.816967,4240,8.000612
2193.786999,1859,8.875124
2764.48364,2232,11.485063
1963.208037,1633,12.260175
2994.689083,2441,14.955938
5416.519982,4440,18.649475
3165.953487,2494,21.275307
5896.761627,4291,25.337515
909.614854,863,25.775038
584.728339,792,27.18455
7019.749499,5000,31.635824
1971.927051,1722,33.409863
2133.808832,1794,35.272839
1656.465108,1403,37.023864
5292.891225,4190,40.991443
2763.811087,2209,42.940462
3061.88031,2655,45.098679
2384.712183,2033,46.976708
1558.37373,1398,48.530221
2043.360839,1837,50.407605
1260.622707,1081,50.951118
2185.452992,1821,52.915139
2945.338597,2499,55.005934
2841.824709,2531,58.008338
2828.600518,2260,60.107242
1997.351347,1953,62.085479
1827.504462,1612,62.889002
2140.371898,1741,64.690317
1830.649035,1671,66.489661
2207.566007,1782,68.650391
6633.974345,5000,73.112467
6138.161716,4649,78.132752
1337.209451,1072,78.650753
3925.790396,3111,82.220964
3183.670112,2646,84.406604
7294.426584,5000,88.721795
2915.699661,2337,91.686528
3605.780073,3031,94.05765
3584.974254,2585,96.206136
2950.418049,2358,98.480322
2525.785711,2125,101.302371
795.750518,781,101.714371
2734.118847,2123,103.683488
1368.091218,1133,104.222313
1509.895902,1394,105.805133
2600.954267,2122,107.730646
2192.885482,1992,109.727995
1788.173358,1494,111.359437
7204.036285,5000,115.804273
3202.411497,2440,118.821361
7064.467405,5000,123.265543
1341.915845,1086,124.658687
6999.644572,5000,129.074463
7130.10394,5000,133.460679
1932.210308,1667,135.163564
1258.666459,1051,136.573076
6834.484691,5000,140.889433
1777.072632,1524,142.759693
832.288368,787,143.138204
2097.192932,1766,144.974262
1725.774035,1424,146.584592
6938.042608,5000,150.85988
1571.124724,1396,152.449391
6610.929102,4894,156.644653
1994.366962,1646,158.648684
5277.832094,4088,162.486728
7039.594248,5000,167.598284
6617.421827,5000,171.895377
1540.459924,1386,173.575527
3972.652926,3302,176.211339
2193.083207,1902,178.071927
4633.450204,3460,181.770459
2572.040764,2159,183.882077
1983.98305,1661,185.71581
2841.74005,2282,187.967129
7099.069898,5000,192.38691
7219.37802,5000,197.478265
3956.241421,2948,199.875178
6978.522681,5000,205.174784
1484.627717,1360,205.824295
4856.480028,3945,209.629886
4306.057306,3221,213.135866
6680.646797,4760,217.409717
5361.147689,3976,221.383854
4315.759297,3395,224.802934
2173.730277,1801,226.559265
6781.964965,5000,231.002566
7063.60766,5000,236.339533
2180.54036,1895,237.30105
1409.78436,1273,238.871088
6586.854601,5000,244.353673
7132.578575,5000,249.465775
7358.757442,5000,253.998834
6773.344344,5000,259.341136
6754.934138,5000,263.749569
7161.838675,5000,268.92028
7041.946043,5000,273.582824
7009.840109,5000,278.899327
7085.242955,5000,283.577229
6876.50599,5000,288.670387
1568.60055,1232,289.423878
7156.934349,5000,295.022016
1752.220374,1739,295.911394
5552.562832,4194,300.026159
6983.707752,5000,305.451632
1648.515515,1434,307.344655
4392.629221,3569,310.079292
6100.964201,4577,315.125092
6656.436133,4796,319.401611
7045.550115,5000,324.053752
6699.034386,5000,329.448398
6805.763503,5000,333.826071
7383.229754,5000,339.600538
7403.591908,5000,343.795484
5424.521926,4295,347.644811
3702.840329,2905,350.964915
1464.781816,1161,351.517915
6845.776855,5000,356.810734
6968.281949,5000,361.13474
2225.402316,1717,362.832256
5396.11329,4317,366.684117
4661.275901,3395,370.419946
3616.418537,2869,372.666973
4465.807869,3604,376.167441
1105.627832,995,376.64044
2770.398197,2318,378.637469
6956.54712,5000,383.932072
3510.624924,2888,386.231406
3073.358301,2364,388.276752
7051.127916,5000,393.382755
4963.734809,3834,397.039374
6879.834486,5000,401.663969
5079.125612,3860,405.384388
7147.643997,5000,410.96695
7115.51725,5000,415.723907
7040.757951,5000,420.155603
3642.944953,2825,423.479618
6992.300541,5000,428.206923
6890.718718,5000,433.41978
6953.814587,5000,437.625185
7096.88903,5000,443.071787
7092.566051,5000,447.297639
7248.468841,5000,451.849493
2518.92347,2218,454.809785
4831.140181,3868,457.77517
2268.168973,1865,459.709766
7020.106775,5000,464.802666
7110.906282,5000,469.264337
7517.985818,5000,475.26368
2781.209164,2252,477.261455
6653.111737,5000,481.677192
3600.694002,2874,485.304985
6687.985764,5000,490.122449
4168.272424,3475,493.81589
7068.637618,5000,498.059155
3166.023444,2107,500.004195
6037.173493,4878,505.224108
7201.332393,5000,509.57317
3178.108345,2810,511.787941
2271.774025,1819,513.552967
7256.489114,5000,518.850986
7504.831016,5000,523.23242
6808.644303,5000,528.290923
7106.471841,5000,532.807733
7451.83345,5000,538.156212
7060.074485,5000,542.466193
6788.87805,5000,546.608132
3843.916219,3116,550.122219
6763.858701,5000,554.283154
6955.957634,5000,559.546739
7165.833107,5000,564.116975
7341.393043,5000,569.265865
7155.255592,5000,573.480648
6919.644636,5000,578.667812
6905.331397,5000,583.320372
7160.709278,5000,587.823189
7227.50517,5000,593.626298
7071.022021,5000,597.835037
7173.557922,5000,603.137387
6930.759969,5000,607.54347
7308.714707,5000,612.899213
7303.141926,5000,617.190074
7242.891608,5000,622.773285
7124.522189,5000,627.091827
7414.48492,5000,631.457814
7206.482106,5000,636.52582
7004.223408,5000,641.139572
2542.06061,1617,643.031142
7288.921367,5000,648.348578
7279.130187,5000,653.104671
7143.138189,5000,657.3359
7406.588202,5000,662.635099
7130.62923,5000,667.003794
7564.147507,5000,672.589181
7439.228707,5000,676.865685
7379.801629,5000,682.560358
7297.446694,5000,686.888294
7318.047818,5000,692.294225
7558.427444,5000,696.650105
7532.164586,5000,701.499302
7408.402385,5000,706.977868
7484.438077,5000,711.476949
7380.686133,5000,716.948473
7596.927321,5000,721.495424
7213.065498,5000,726.675164
7389.757452,5000,731.333317
7627.848031,5000,735.783509
7517.773859,5000,741.249712
7435.290522,5000,746.032685
7266.855764,5000,751.513007
7573.437176,5000,755.750676
7340.168071,5000,761.40059
3785.88961,2423,763.505007
7385.984034,5000,767.979716
7431.997244,5000,773.599647
7589.605084,5000,777.966848
7261.975807,5000,783.340474
7462.568524,5000,787.840962
7551.361311,5000,793.185062
7385.031376,5000,797.502028
7353.993856,5000,801.861433
7487.806334,5000,807.126078
7348.083842,5000,811.42018
7456.010804,5000,816.656446
7776.647392,5000,821.555313
7460.685526,5000,826.780568
2313.955506,1427,827.51308
7459.158632,5000,833.698989
3972.011491,2654,835.853039
1370.195522,810,836.238446
1403.541651,862,837.561963
1748.4615,1048,838.046475
7701.919904,5000,843.204293
2171.130936,1360,843.837292
7388.380308,5000,849.131613
1366.896605,846,849.652748
1671.579792,961,851.025093
1404.623711,872,851.437606
1526.658424,894,852.748121
1732.53717,1019,853.224633
4819.668039,3282,856.593046
2964.631176,1879,858.382071
1207.837604,757,858.743072
1421.241307,859,859.206213
1921.316961,1195,860.716627
7521.031919,5000,865.053888
1410.003247,858,866.441421
7256.501646,5000,870.901739
7163.156102,5000,876.305984
6240.072624,4252,880.801391
1361.812339,781,881.234613
1466.132376,847,882.66082
1906.671461,1125,883.210646
7434.092486,5000,888.488576
1433.297119,823,888.883063
7367.79805,5000,893.538094
1479.233839,898,894.918637
1357.58969,812,895.307972
1733.358499,992,896.735223
1424.381731,901,897.181675
1233.634664,756,898.465839
1922.090557,1078,899.015749
1465.41369,937,900.521076
1616.990052,959,901.00028
1589.726841,953,902.356759
1636.870523,995,902.859408
4959.642881,3252,906.282031
1860.426033,1127,906.835848
1631.495617,984,908.470417
7619.719942,5000,912.95997
1905.02884,1153,914.445122
7433.953843,5000,918.636781
7647.111667,5000,924.202548
1236.469595,740,924.594598
1691.540922,1057,925.101106
7348.975394,5000,930.282949
3796.493612,2478,932.403938
1883.515746,1226,933.929684
1282.779487,750,934.30062
4353.722184,2897,936.608566
7368.728032,5000,942.023817
7578.761718,5000,946.51569
1482.68263,844,947.952345
1269.659889,751,948.340817
1342.085293,776,948.750534
1597.114267,935,950.35151
1372.053661,804,950.839423
1387.096583,815,952.35592
1326.459067,839,952.969505
1321.195062,844,954.393933
1361.82277,782,954.852176
2964.111207,1965,956.808513
1236.619528,722,957.157785
1823.023679,1093,958.604972
7563.280977,5000,963.101193
3030.578855,2002,964.989138
1695.724242,954,966.384373
1653.803481,987,966.846487
