#{"t_start": 1774826580.521702, "env_id": "None"}
r,l,t
242.383272,270,1.181234
71.981615,318,1.304129
182.041065,192,1.377759
149.864197,187,1.449059
287.39346,203,1.527695
252.233997,298,1.644779
173.481527,336,1.773945
40.142944,303,3.944548
151.483169,192,4.017382
165.383846,188,4.087512
362.762542,380,4.233873
92.985671,267,4.336579
165.448832,249,4.432873
203.357699,211,4.514087
253.833507,228,4.602197
233.543434,258,4.700922
226.438026,291,6.089129
182.191416,211,6.210916
-25.970764,335,6.354236
119.761269,183,6.423016
219.163592,200,6.509882
322.117049,355,6.650171
150.470357,185,6.721804
230.684697,398,7.661957
216.539172,208,7.756127
279.368927,220,7.852869
18.905719,246,7.950689
210.899337,199,8.029069
68.165908,314,8.153437
189.48557,194,8.226571
23.206908,446,8.397539
188.076711,186,9.249879
166.217506,189,9.333994
127.35176,185,9.414152
130.810914,307,9.536386
229.041551,205,9.615533
257.758654,209,9.698811
188.79991,264,9.804018
240.299001,201,9.882771
316.755772,223,9.971083
181.674394,187,10.043769
272.939397,248,11.078876
274.9065,237,11.192972
280.530436,283,11.302854
177.101339,191,11.376512
196.049724,211,11.457128
175.934098,188,11.530819
299.716101,375,11.677324
145.712661,189,11.750826
194.026449,344,12.724007
205.331186,197,12.822218
209.73108,204,12.904025
336.315981,265,13.009851
192.924376,197,13.087609
279.838633,205,13.168883
168.373922,194,13.245115
288.020602,230,13.333827
264.78385,205,13.414046
292.612536,236,14.30553
271.103306,211,14.397377
206.439068,205,14.486163
222.835431,207,14.567451
263.846298,223,14.653755
175.926027,190,14.727513
204.58229,220,14.815254
141.360953,187,14.889015
232.19237,199,14.967236
240.869714,214,15.052009
274.503899,227,15.934047
186.571079,196,16.022779
227.016775,210,16.11173
143.030749,369,16.255075
178.9832,191,16.329781
151.7889,199,16.41083
210.442124,198,16.487511
214.553742,204,16.568754
193.111571,192,16.642022
229.843801,193,17.486211
204.69657,189,17.569843
232.50003,204,17.664145
178.575618,401,17.825358
151.286791,187,17.898156
242.449019,201,17.976284
209.616184,303,18.093679
260.417589,249,18.191861
262.092468,197,18.267999
222.247761,237,19.13875
265.538485,197,19.222888
143.754588,191,19.302005
263.557592,253,19.400736
186.676378,196,19.477172
287.891861,225,19.565902
244.342356,197,19.642777
282.392106,219,19.728834
189.673831,206,19.807416
220.083666,275,20.698058
210.151904,196,20.787545
210.04828,193,20.876089
87.997976,183,20.951096
226.180519,329,21.085872
169.540164,191,21.163359
228.045139,207,21.243606
178.163333,197,21.3218
221.337489,200,21.400044
189.430902,198,21.47626
227.180694,234,22.35626
202.247095,214,22.450934
294.762544,215,22.538746
173.245861,189,22.612014
206.208283,197,22.690099
192.102613,186,22.760754
241.574047,200,22.837435
174.675817,191,22.914834
-238.649696,372,23.063026
197.690137,244,24.206748
248.882685,211,24.31983
204.727002,213,24.412136
156.632962,370,24.562137
236.072036,205,24.642169
113.495432,176,24.710039
175.698107,195,24.787251
189.201074,196,24.863086
163.684791,190,24.935819
248.506342,191,25.00995
307.347329,210,25.945123
271.708367,275,26.0702
185.420224,200,26.150902
313.758702,374,26.296465
96.313293,184,26.367352
253.20884,268,26.476176
205.20918,229,26.568233
175.517667,188,26.640864
-38.282555,377,27.583542
154.003009,186,27.666175
202.682613,192,27.743862
315.282982,259,27.847122
106.997395,174,27.915466
287.811522,211,28.000755
189.935589,192,28.077506
170.312712,190,28.151978
131.703622,186,28.22466
291.48957,220,29.116113
215.16117,211,29.20978
-25.179184,342,29.363713
273.095318,207,29.444442
208.253115,216,29.527183
272.694765,219,29.614507
269.693352,203,29.694741
153.549955,188,29.768595
246.830544,204,29.849836
239.917865,292,30.808568
270.175991,264,30.951171
247.178047,349,31.12383
242.258037,217,31.217414
149.903322,188,31.301692
172.43091,196,31.38286
216.506825,201,31.463529
300.367924,314,31.593832
246.426148,214,31.67964
197.598777,192,32.571803
169.666832,395,32.746315
194.386674,234,32.83698
135.277761,305,32.957352
260.389991,205,33.037118
276.640483,226,33.126986
177.78627,193,33.202771
195.501972,218,33.286948
203.645814,193,34.150625
140.984548,206,34.242793
180.945308,194,34.332425
214.134199,210,34.416044
203.12172,202,34.495373
173.771411,189,34.570611
319.412027,212,34.652901
145.083654,274,34.76177
199.728535,258,34.864616
170.315627,198,34.941895
189.963131,212,35.846375
191.085186,192,35.941735
208.40851,184,36.016373
161.926841,201,36.094532
246.647959,209,36.175045
220.10307,195,36.252897
202.149877,199,36.329769
212.504097,210,36.411411
190.763411,197,36.487154
155.147756,197,36.566519
191.828832,192,37.499559
198.270174,198,37.590482
75.911799,286,37.712841
293.244506,313,37.83416
159.860598,191,37.908399
255.211297,200,37.986702
208.041143,191,38.060841
244.592407,207,38.141523
222.528627,289,38.256318
159.671476,185,39.136341
276.392906,252,39.250552
192.28922,268,39.361754
204.071814,193,39.436952
217.90427,193,39.511617
271.099566,198,39.588783
249.25401,199,39.667002
272.273527,252,39.765208
267.490546,217,39.84937
307.258579,277,40.774955
278.967548,210,40.880634
-34.349932,353,41.032436
220.214274,213,41.119378
255.050285,251,41.21934
205.988501,200,41.296212
187.902022,249,41.395894
140.53682,182,41.465031
156.358087,185,41.53726
320.746422,392,42.526914
150.197262,382,42.685873
228.859994,195,42.762659
329.136334,367,42.914153
-46.485775,387,43.067289
259.233956,207,43.14698
217.50617,191,43.22161
298.970652,276,44.181612
199.681421,195,44.268758
279.466703,239,44.361509
169.358177,191,44.43618
313.042348,220,44.52338
269.956421,226,44.61408
243.814724,197,44.690734
259.3666,194,44.768477
266.289347,235,44.861294
221.916327,225,45.771273
180.313909,199,45.865966
181.697677,213,45.954035
220.258635,250,46.051712
247.20712,199,46.129397
189.328596,195,46.205072
274.052169,305,46.32593
154.537381,192,46.401671
274.359768,254,46.502332
156.820309,186,47.393202
234.162155,271,47.51495
219.205831,242,47.617244
233.075506,265,47.722514
251.465422,352,47.861372
212.034454,201,47.940518
222.846364,199,48.017154
241.507152,196,48.09383
220.736833,217,48.179582
191.941954,261,49.082643
268.632817,207,49.175872
221.855172,244,49.274192
264.758463,217,49.360498
274.162729,278,49.470276
319.779818,268,49.575998
252.449946,267,49.682296
255.479226,207,49.76403
151.764719,186,50.617071
82.078414,321,50.76475
235.589495,223,50.862542
60.021481,379,51.022486
196.857849,196,51.102176
228.787513,249,51.203784
202.842233,189,51.277565
288.399475,227,51.365846
274.996359,205,51.447133
94.345587,321,52.36386
147.710858,407,52.534857
247.57318,209,52.61715
205.89275,193,52.692409
209.34979,222,52.781222
200.905482,202,52.861514
260.087666,201,52.940326
249.99224,207,53.020619
74.158811,375,53.991232
193.239663,247,54.100455
249.080601,217,54.184116
273.741433,224,54.271307
224.106668,213,54.353971
270.333343,203,54.433625
301.884685,249,54.531607
319.861688,271,54.820606
200.960463,353,55.752643
238.792728,218,55.853841
271.705714,222,55.941517
257.139921,317,56.066845
257.002696,355,56.20578
240.049288,209,56.285924
291.705176,256,56.386102
237.68221,203,56.463721
206.998387,301,57.411769
369.379278,242,57.516126
237.696472,228,57.606783
232.44335,525,57.812764
238.945587,198,57.889298
351.865064,349,58.02678
328.536493,288,58.933995
271.211136,219,59.03584
334.446204,287,59.164923
180.711234,201,59.246069
127.373008,281,59.355759
219.059695,203,59.434907
295.14582,237,59.52693
208.577142,192,59.601239
199.61479,214,59.684548
182.451309,197,60.556906
213.15817,221,60.659158
43.642534,320,60.798285
187.667069,193,60.874784
205.089253,199,60.955112
330.198378,242,61.055603
243.605595,209,61.142461
255.446716,289,61.255873
209.09187,203,61.334785
155.589392,192,62.196869
421.535228,611,62.464856
246.895234,242,62.560196
245.076017,199,62.636833
140.812195,302,62.755625
293.809053,222,62.843438
-78.098478,423,63.009422
158.536,188,63.896662
157.648247,403,64.072448
232.250561,303,64.190081
165.101552,382,64.338058
271.077384,350,64.474698
260.501908,326,64.603729
295.381006,290,65.501288
264.119587,211,65.598269
287.754577,216,65.68676
284.230387,217,65.77043
301.862829,207,65.851399
287.526239,230,65.941316
267.030537,206,66.021415
229.911269,315,66.144803
277.929929,266,66.246695
194.27258,273,67.241167
176.777577,367,67.396507
266.923977,229,67.488184
327.945824,430,67.656665
272.560128,217,67.742364
97.135109,292,67.860089
213.753564,248,67.956522
192.423212,209,68.844843
268.587792,313,68.980277
346.877668,244,69.075812
242.708222,315,69.199309
237.735594,205,69.279339
292.208316,294,69.398316
260.282841,210,69.480994
252.569313,201,69.5601
309.533119,236,70.441304
309.476869,231,70.546295
181.821033,335,70.681115
231.356111,234,70.776579
260.526863,208,70.861434
277.981292,200,70.942717
290.268288,327,71.076933
218.85563,193,71.154411
314.11685,231,72.042044
202.037631,220,72.136554
254.85536,217,72.230949
247.811557,331,72.360247
349.175968,386,72.511017
299.17577,277,72.620998
221.453541,283,72.731073
168.701095,235,72.823252
231.593298,368,73.780118
-131.339349,473,73.980211
263.650571,208,74.061959
222.718263,335,74.191189
307.94289,280,74.300965
178.057302,270,74.406636
276.601896,265,75.322973
200.599538,228,75.425841
255.222254,383,75.579028
201.724718,215,75.662946
237.500622,199,75.741079
227.333899,277,75.848875
369.051907,555,76.067103
252.751492,209,76.956431
396.880843,337,77.108068
200.700365,251,77.210871
70.925633,306,77.329047
220.682231,221,77.414706
208.173353,234,77.505879
297.285185,261,77.607947
270.491239,259,77.709205
193.316169,191,78.58299
325.286035,289,78.719284
209.256197,277,78.82786
-40.981329,336,78.961964
193.962701,229,79.051847
452.51092,432,79.221531
201.532158,200,79.299323
35.509343,416,80.288227
538.302151,402,80.456081
366.17508,265,80.560089
243.727378,331,80.689008
297.051429,343,80.83227
309.139225,314,80.970962
278.75698,248,82.435557
317.388569,266,82.604834
53.023501,480,82.866619
253.934155,222,82.983168
45.505339,277,83.1343
289.362481,246,83.269061
234.80111,400,83.477875
313.898711,219,84.679053
284.423554,452,84.906382
248.732752,198,85.014023
2.643148,392,85.229814
260.61355,206,85.358097
264.172692,194,85.474771
254.049447,205,85.591986
300.079899,302,87.003093
388.244349,306,87.161868
246.044359,360,87.325333
10.69945,307,87.457742
260.77085,230,87.554287
203.392483,193,87.631112
291.666887,256,87.736313
229.982275,336,88.819078
406.32522,355,88.998747
42.077844,420,89.17564
303.348363,237,89.272919
248.125189,206,89.355745
340.000746,296,89.477236
217.775428,308,89.605664
138.849984,357,90.706524
299.976489,308,90.865925
322.409872,249,91.015545
329.938946,258,91.162266
292.243146,244,91.310445
285.660934,312,91.43783
341.25508,260,91.546178
364.097487,296,92.604301
294.903533,433,92.819715
144.068142,456,93.006492
-217.557279,737,93.312852
266.338461,278,93.426408
274.157987,272,94.482534
-0.285054,341,94.642599
131.099423,352,94.790066
271.976184,258,94.896534
256.098778,206,94.982789
-54.793976,588,95.226641
168.885515,314,96.304462
247.266723,201,96.403337
288.031543,278,96.523374
277.513905,208,96.901138
180.43471,377,97.108968
289.614512,226,97.234454
345.483052,281,97.363845
303.729025,277,98.42095
256.626015,208,98.525449
234.245971,255,98.646353
280.467374,220,98.7356
264.819175,206,98.819719
250.901643,329,98.956531
265.505794,257,99.063755
278.590803,232,99.158923
-1.597123,373,100.237726
297.725436,565,100.512236
183.729804,316,100.665652
389.722841,321,100.842541
176.905123,268,100.995184
254.766152,224,101.116097
306.76101,404,102.268661
298.651038,302,102.42352
105.941479,316,102.555941
327.471633,242,102.656855
278.37469,233,102.751531
251.240615,219,102.843469
318.542765,229,102.938725
267.123711,276,103.055062
309.259737,327,104.120777
-497.746927,504,104.344211
312.719731,241,104.443427
-32.770435,429,104.622358
235.713587,264,104.728808
33.322171,423,104.904242
417.02762,421,106.042044
144.9172,329,106.180841
308.20027,440,106.360701
249.856485,565,106.592199
309.591305,240,106.690926
240.67035,241,107.743875
289.853696,228,107.855118
-167.371365,449,108.049822
273.542503,354,108.196123
141.340564,315,108.328673
184.86047,545,109.464248
247.170886,332,109.634124
240.580991,461,109.829788
-7.378327,340,109.968627
273.021831,241,110.066336
-217.436108,359,110.219645
-169.168018,585,111.483098
-299.057371,547,111.951191
181.205306,418,112.129657
292.354534,382,112.443321
-51.90502,411,114.08075
303.912156,216,114.185947
253.59956,524,114.423282
12.274222,620,114.679739
38.271476,388,114.836107
214.683467,387,115.93055
