#{"t_start": 1775153717.3711011, "env_id": "None"}
r,l,t
1419.233834,1460,1.641816
1854.454207,1679,3.215838
1670.351661,1535,4.683878
1963.072612,1847,6.348938
1702.789091,1768,7.938968
3326.211444,2862,10.078957
4190.248791,3906,13.480317
3852.273935,3019,16.334627
3546.00228,2927,19.536938
4133.886846,3482,21.954416
1710.68922,1834,23.575437
2678.608403,2260,25.398309
3126.782854,2673,28.179661
2885.230848,2475,30.095277
753.890276,800,30.470275
1995.893887,2126,32.239232
831.153393,930,33.446741
4169.84512,3685,36.76514
1057.127271,977,37.220657
4402.115066,3564,40.435868
2810.019667,2414,42.318731
4040.242289,3867,45.730553
2938.382431,2459,47.633402
2200.438014,1934,49.312435
3088.926695,2571,51.275027
3922.425053,3188,54.344083
1471.247432,1398,55.804463
1550.902644,1454,56.486742
1823.845363,1656,58.044256
2071.334109,1775,59.645958
2047.766781,1947,61.313593
3627.263598,3220,63.584624
2368.255203,2059,65.328332
2846.319615,2690,68.152237
1285.288841,1217,68.717237
725.511529,779,69.851943
1514.869981,1381,70.499086
746.655074,1019,71.740169
1302.875887,1257,73.122877
2148.280673,2121,74.908156
923.28603,969,75.39496
4093.060344,3335,78.519016
2729.306223,2310,80.385633
3286.767699,2845,82.474424
2837.249681,2321,84.349452
3297.181977,2876,87.289879
2192.031913,2045,89.018392
1982.140074,1867,90.701415
2378.744312,2038,92.425205
976.967203,1090,92.944205
1169.34605,1105,94.250232
4465.779839,3712,97.574982
1024.909533,939,98.027981
3776.347478,3470,101.209119
2952.666413,2677,103.229142
950.796601,1031,104.478657
1208.880153,1228,105.079702
820.55294,902,106.262743
2283.881959,1651,107.050743
1491.533777,1448,108.518764
1173.900225,1141,109.836277
933.765749,753,110.194828
2298.769729,1996,111.907101
1238.169773,1041,112.390615
2799.653679,2547,115.196084
3801.044257,3239,117.478753
4369.634372,3881,120.851336
2726.059179,2049,122.577159
3841.249788,3570,125.834266
2361.922178,1988,127.535601
2031.386355,1732,129.119117
1903.55901,1742,130.68836
2507.816358,2093,132.449172
4459.875315,4049,135.939015
2365.522687,2245,137.764047
2703.11479,2294,139.610075
3847.722979,3278,141.896404
2605.498345,2333,144.527942
2939.387455,2162,146.351166
5663.853742,4745,150.161469
3895.915345,3369,153.369721
3204.99275,2893,155.531865
1902.77211,1804,157.156639
1217.310991,1212,157.714639
3108.174476,2774,160.582591
3215.639588,2776,162.644397
1533.666162,1473,164.116591
2533.918931,2327,166.017006
1301.977903,1124,167.325037
3470.860907,3076,169.537058
3520.247299,2901,171.651749
2331.044726,2030,173.365778
1637.961431,1623,174.92583
2999.423272,2531,177.646298
3255.494892,2896,179.773328
2152.497818,1887,181.437067
2065.352489,1905,183.112581
3125.890646,2607,185.127522
2015.600216,1811,186.777739
1613.384292,1549,188.282765
2614.878973,2098,190.030769
1395.660885,1447,190.703281
1672.763842,1854,192.373121
1275.300857,1384,193.817635
2918.791771,2418,195.754541
2911.387331,2620,197.752387
3585.786497,2944,200.682548
1539.189466,1458,202.132128
4684.276049,3710,204.656674
1840.833547,1575,206.226007
2550.251192,2444,208.141527
3221.877393,2800,211.006374
2089.658994,1750,212.591397
1529.105869,1672,213.373908
1024.858259,1094,214.656423
1286.917243,1150,215.990901
6477.595201,5000,219.905223
2571.131625,2118,221.688069
4990.338118,4093,225.180684
1761.246169,1554,226.714064
1366.244299,1445,227.388575
2884.222004,2162,229.926556
2580.678825,1946,230.851067
3350.283814,3061,233.848453
2288.814342,2075,235.651859
2401.093615,1980,237.360705
3227.501438,2423,239.283734
1742.945807,1539,240.788872
2483.940448,1941,242.486678
3955.004094,3191,244.765707
