#{"t_start": 1774894682.995108, "env_id": "None"}
r,l,t
315.876759,202,1.209185
321.975428,196,1.286218
460.912942,207,1.365932
399.136323,207,1.444812
286.040606,197,1.522014
284.278472,182,1.651368
251.518632,187,1.722459
358.234725,218,1.80712
319.361255,208,1.889022
572.655018,344,2.829491
236.662727,187,2.918843
309.091361,283,3.053984
99.445746,418,3.23154
501.470808,409,3.408868
247.625945,181,3.485796
398.425464,193,3.562125
654.40909,257,3.663382
285.756379,186,4.603283
350.258704,231,4.716519
373.639985,242,4.814691
293.81931,291,4.942895
220.59895,192,5.020753
429.686574,224,5.109036
266.42247,194,5.186025
424.703442,235,5.277883
301.502206,228,5.366084
397.223509,382,6.369842
371.301377,324,6.505151
707.069811,462,6.689157
544.943447,221,6.776377
194.460679,250,6.87633
374.092505,201,6.956028
381.456273,191,7.031702
368.881169,251,8.165449
311.822137,199,8.390398
307.593653,196,8.482017
264.331267,189,8.561017
340.093503,213,8.648322
386.186349,212,8.737128
275.308076,346,8.880427
410.042774,195,8.956427
456.047597,311,9.924462
426.532857,198,10.011976
324.205869,199,10.093974
442.160147,347,10.233977
263.859757,196,10.308977
227.54332,218,10.392975
405.553662,195,10.468975
412.521139,236,10.559976
474.193797,212,10.640975
380.302102,203,10.719976
518.03982,201,11.584998
265.848308,216,11.675999
442.457512,200,11.763005
451.176736,210,11.848005
387.119039,273,11.955005
418.617586,199,12.03353
348.779844,231,12.123533
315.566489,190,12.19753
342.043688,189,12.270533
356.217516,205,13.182041
218.349098,191,13.272206
268.072283,197,13.370209
314.083741,216,13.458208
298.938167,193,13.533209
227.270625,345,13.671207
324.889414,201,13.748208
445.363626,263,13.852207
315.765718,194,13.928209
344.361855,203,14.006738
193.873131,286,15.01969
270.167824,193,15.136691
333.143112,312,15.286692
386.664081,205,15.373688
114.271569,336,15.515691
22.175779,288,15.633688
330.969784,338,15.772689
525.386689,310,16.915256
404.751591,325,17.072767
271.369888,193,17.153766
358.334754,261,17.260767
180.627096,343,17.394766
381.026405,205,17.477767
359.79488,219,17.570768
324.501892,227,17.662766
715.977235,402,19.097224
453.143799,188,19.260837
313.583533,215,19.420501
296.41218,405,19.861821
225.928982,307,20.246698
313.250833,205,20.40387
236.401073,191,20.553225
354.238374,378,21.821252
508.499552,211,21.928416
343.164932,195,22.015208
364.984665,197,22.09682
444.717128,381,22.264146
334.684115,193,22.351547
193.790452,356,22.500425
426.275014,196,22.582306
282.156657,455,23.998253
306.366042,190,24.114327
430.131363,199,24.224117
337.691463,207,24.319263
367.476661,209,24.410594
499.80204,210,24.504253
513.223237,216,24.593524
262.359253,187,24.669146
500.899365,250,24.771868
448.527853,313,26.030716
362.17867,190,26.12349
479.054434,309,26.258393
335.26858,261,26.365659
355.379609,183,26.438393
372.031718,207,26.525066
432.34209,232,26.625677
378.890503,384,26.782409
279.317336,266,27.843997
401.605232,210,27.948746
566.305356,267,28.058815
388.126208,203,28.144593
328.2833,195,28.229705
263.551876,306,28.386759
407.382859,227,28.515789
259.858131,336,28.708525
267.750703,274,29.853707
404.876235,200,29.968423
322.500278,269,30.128456
403.171865,210,30.237133
440.965054,417,30.446451
339.154295,220,30.542215
523.418428,255,30.649544
399.279786,203,30.746433
173.37427,322,31.879608
362.174083,294,32.021065
473.243462,226,32.118215
292.568958,289,32.240706
435.028388,233,32.338939
260.916497,315,32.469162
424.458941,212,32.590871
326.556611,243,33.653193
291.298421,197,33.749864
128.293218,241,33.870344
409.904618,195,33.964488
283.759017,359,34.145962
425.184682,220,34.246562
443.295376,187,34.334362
350.33493,235,34.443672
393.207078,251,34.550354
342.884033,253,35.569555
298.847063,210,35.678171
398.929355,266,35.798273
251.197032,344,35.939001
459.313986,217,36.028177
302.247564,306,36.153458
333.289072,222,36.243045
323.205095,334,36.381863
301.650995,225,37.407919
581.988267,425,37.604541
313.776945,209,37.687299
388.600373,356,37.832456
346.014001,206,37.916055
144.373159,240,38.013267
309.199604,208,38.09711
333.378908,210,38.181409
159.637813,190,39.214939
313.457864,198,39.313263
324.334815,326,39.452261
319.629013,213,39.536512
410.409693,229,39.630249
178.545885,372,39.781765
491.470498,201,39.863539
300.560483,199,39.948421
372.617062,260,41.106647
386.264862,228,41.224096
278.162669,194,41.308804
276.492637,207,41.395303
448.999244,253,41.497949
371.373255,196,41.578967
414.970232,220,41.668699
360.438578,218,41.756698
425.000779,247,41.858665
257.978799,203,42.866053
370.9255,210,42.975159
220.521689,188,43.064212
538.237506,272,43.176006
406.263679,221,43.26612
282.131517,323,43.398021
246.644958,257,43.503883
370.308384,211,43.593113
387.02615,233,43.686553
350.893687,213,44.718296
282.130959,231,44.836065
363.623306,210,44.927859
379.573244,211,45.019445
267.224194,217,45.10604
216.08999,310,45.23167
396.488595,244,45.330001
563.240496,229,45.429789
357.277293,198,45.529213
455.66889,200,46.659215
318.754308,223,46.772429
349.912984,209,46.860829
400.772062,200,46.941868
295.571262,416,47.113018
343.28218,289,47.23381
457.294073,201,47.314518
550.416316,269,47.422806
485.882695,362,48.542549
323.144068,197,48.643597
635.355159,236,48.755977
322.327574,196,48.838237
380.955475,206,48.921669
289.799383,213,49.007854
404.212016,202,49.089925
477.058448,245,49.190269
211.789691,341,50.274002
467.93976,227,50.400087
264.697743,188,50.488992
441.505386,200,50.572107
420.932903,223,50.666246
48.409311,484,50.88516
470.942832,239,50.995383
279.560681,238,51.094817
483.064873,222,51.185506
508.148861,216,52.219012
283.695326,274,52.348146
373.643459,198,52.430266
359.694266,200,52.51454
296.920709,194,52.593003
350.422734,216,52.686112
245.124911,471,52.879492
264.13091,354,53.944104
689.205257,321,54.103791
492.401912,202,54.186876
359.493958,267,54.29418
461.251964,305,54.417908
377.295582,216,54.508719
417.894042,208,54.593693
499.116003,305,54.717986
329.658237,238,55.741737
64.66993,684,56.07242
393.02894,244,56.188505
393.736138,197,56.26852
500.373861,331,56.401736
262.575835,308,56.527065
339.046503,217,57.544472
96.13252,411,57.745838
375.939068,219,57.836652
363.613976,229,57.949585
367.706703,291,58.076021
319.816314,230,58.170917
453.000796,396,58.374934
310.150516,538,59.582039
396.535655,286,59.719964
318.738849,195,59.807619
451.899455,388,59.994146
452.784973,297,60.154459
298.083724,193,60.253734
518.799102,418,61.713677
270.304711,308,61.887935
399.945096,195,61.989773
559.960247,408,62.196875
314.840817,273,62.335278
448.619357,224,62.454719
534.100884,239,62.578749
530.366866,223,62.698404
333.378102,204,63.764019
368.121851,259,63.898172
450.001492,328,64.040296
430.690117,220,64.133023
383.419014,273,64.245523
412.291489,472,64.43888
617.908147,429,64.630641
371.488067,234,65.728109
280.718465,281,65.862614
320.941067,302,65.990145
445.280837,195,66.068335
369.946527,500,66.305211
431.732999,187,66.398453
344.730243,321,66.563041
319.758589,334,67.755797
464.870048,190,67.8447
281.065989,376,68.000031
477.951565,266,68.107564
388.752028,257,68.211466
209.968552,378,68.418979
392.845215,212,68.538481
290.767176,491,69.760305
399.658459,199,69.844479
425.609271,247,69.964104
380.609453,216,70.063185
377.244656,529,70.286808
561.107524,285,70.409451
228.970034,357,71.554225
291.110971,511,71.789828
471.286479,201,71.883832
134.198717,359,72.04744
480.234656,269,72.155587
340.513587,293,72.286083
615.672995,322,73.460622
355.542335,203,73.566448
417.383521,213,73.66204
592.976139,289,73.792435
332.859913,263,73.907721
324.327777,199,73.991692
455.90102,365,74.13953
263.052041,206,74.221745
113.65816,309,75.3494
357.117386,206,75.465098
324.509712,429,75.65058
410.326759,214,75.741517
474.804035,226,75.870331
319.78176,196,75.969522
232.364641,388,76.151072
535.138751,407,77.346026
484.439793,206,77.455849
363.172001,241,77.560693
862.377336,415,77.736595
249.400539,409,77.928124
461.938008,215,78.021688
327.80668,347,78.171877
426.787095,296,79.312355
357.198408,222,79.424628
184.654236,330,79.569475
313.971307,220,79.661408
536.082118,244,79.772286
357.15653,276,79.885522
368.348402,292,80.005003
417.342933,330,81.081805
269.980687,350,81.261124
488.729789,232,81.354508
370.721887,286,81.469666
431.697345,306,81.601456
331.42747,215,81.691152
547.45838,374,81.853312
495.059709,235,82.862671
400.129167,435,83.0797
507.455485,271,83.189777
483.600736,335,83.321912
299.894566,422,83.489628
417.640333,204,83.570337
222.106479,399,84.669515
435.439264,235,84.790698
303.59588,395,84.96643
179.318808,358,85.117341
430.602654,221,85.204578
268.187754,393,85.361888
449.003112,326,85.491353
400.020687,222,86.538746
78.226852,632,86.858846
74.076579,334,87.012399
721.631108,331,87.153905
360.661614,281,87.270749
479.942654,209,87.354215
313.897389,263,88.416028
467.716836,285,88.575804
429.493757,328,88.757672
