#{"t_start": 1775153365.0121293, "env_id": "None"}
r,l,t
2818.391366,2690,3.40465
3282.837544,3189,5.893691
2035.88417,2008,7.96303
3076.381906,2865,11.167845
1890.230577,1800,13.040374
2099.112959,1865,15.404901
2679.36775,2191,17.368015
3529.363883,3141,19.856038
4387.779212,3749,23.58185
1024.775592,943,24.038853
1501.670115,1344,25.581871
2126.134818,1915,27.43679
1831.868295,1977,29.628401
5033.353228,4597,33.613214
1485.245299,1544,35.232727
1846.029758,1618,36.876744
2469.82219,2226,38.988956
3065.938045,2606,41.120983
4884.761575,3978,44.984617
2531.275597,2202,46.931647
3454.721356,2861,50.103014
2756.56393,2293,52.108044
3372.787054,3010,54.511131
1556.103757,1503,56.159647
1989.194287,1667,57.872001
2192.591784,2000,59.838361
1770.572656,1605,60.588881
1934.762789,1688,62.330854
2489.653688,2218,64.337723
2276.502244,2126,66.249238
1610.960082,1612,67.984832
873.43401,1069,69.378655
941.622374,983,69.843657
4107.671726,3397,73.253721
1176.143977,1010,73.936237
1659.293577,1575,75.646261
1548.760945,1732,77.442724
3065.021971,2454,79.584853
2191.003205,2133,81.516875
2576.562737,2273,83.475003
1153.424488,1103,84.885522
2928.677816,2745,87.08156
1091.041151,1259,88.786373
3367.428599,3122,91.180408
5832.053316,5000,96.260436
1620.729625,1520,97.857652
2517.967537,2255,99.857448
2270.443665,2214,101.82147
3360.243199,2888,104.244994
3021.542432,2916,107.374172
3239.604089,3009,109.775818
918.079124,1010,110.254821
4286.475109,3977,113.915116
4379.73799,3590,117.527785
1104.367699,1086,119.251237
2496.417615,2044,121.119274
1986.835417,1989,122.970953
3465.360631,3026,125.291271
2125.127921,1435,126.865903
2546.643045,1846,128.761766
2648.871695,2331,130.743659
3661.515119,3249,133.153588
2709.10835,2376,136.260912
2982.105471,2722,138.470327
1360.544407,1240,139.938848
1699.88587,1578,140.714359
1179.740288,1367,142.256358
5552.393534,4708,146.269833
6478.273176,5000,151.585242
3743.225294,3147,154.000044
1881.827311,1750,155.711068
3438.564034,2799,158.943938
1175.870474,1116,159.513454
1698.716251,1434,161.081959
2201.211342,2009,162.91295
2834.800998,2355,165.139772
2710.231741,2129,167.060798
6027.117855,4870,171.321743
2835.92837,2449,173.377304
1283.282308,1321,174.902812
6270.848049,5000,180.305151
1684.708859,1407,180.97366
3716.531651,3150,184.603595
2629.257307,2179,186.567622
2564.630075,2151,188.509401
