#{"t_start": 1774806165.7083344, "env_id": "None"}
r,l,t
-882.710911,798,1.325516
-772.561079,610,1.565484
-1810.508388,763,2.714688
-1020.278655,750,3.029223
-1308.314509,685,3.32022
-104.989569,456,3.521221
-1354.885613,1000,4.856932
-1573.833447,1000,5.355381
-482.876905,605,6.770643
-405.567298,559,6.986163
-760.017443,512,7.18416
-1563.810895,1000,8.360205
-425.176936,333,8.484206
-816.19554,574,8.703209
-562.242919,342,8.83372
-1321.501561,1000,10.18624
-1058.267828,639,10.432238
-598.618633,390,10.580684
-1676.272072,907,11.840659
-1434.292517,1000,12.24366
-1433.788018,1000,13.585181
-353.72363,368,13.725182
-762.771489,436,13.889693
-1021.88072,549,14.101693
-1325.433087,1000,15.544275
-2126.700465,1000,16.105723
-374.233706,563,17.339566
-79.572625,337,17.483943
-485.159367,348,17.629461
-3.338107,249,17.727146
-788.593685,628,17.964423
-1133.811281,627,19.009246
-1538.614981,855,19.339242
-471.649959,363,19.47987
-652.691955,502,20.59146
-677.650279,613,20.849001
-724.505564,499,21.041026
-1402.639248,968,22.368547
-1081.431293,751,22.676114
-405.295317,375,22.827676
-122.61182,215,22.918196
-412.061824,403,23.084228
-1313.012564,1000,24.393407
-730.789485,450,24.574454
-386.791183,586,24.833549
-1747.477583,882,26.183207
-845.59917,523,26.384235
-3.286013,359,26.530169
-497.913614,369,27.532888
-627.769147,634,27.816522
-1355.223696,1000,28.205582
-995.770305,627,29.364845
-215.177519,498,29.586844
-854.563284,415,29.759844
-448.800939,368,29.903361
-792.881725,527,30.111362
-835.404753,762,31.330055
-991.27115,637,31.588982
-214.204374,207,31.670983
-450.29761,334,31.804502
-184.075033,337,32.83002
-215.13827,211,32.927024
-775.450659,514,33.126023
-858.444353,867,33.467023
-1541.704075,806,34.693545
-1423.158034,906,35.057064
-863.725037,488,35.295065
-552.834184,422,36.387177
-390.078467,645,36.667064
-846.534004,526,36.884586
-659.257841,448,37.065586
-824.98962,516,38.170103
-452.556108,392,38.320104
-178.23492,204,38.398104
-586.423669,541,38.612105
-1021.184632,932,39.890131
-668.314671,541,40.104132
-1475.616984,1000,40.490129
-1133.020762,668,41.617093
-476.660492,446,41.813613
-693.033783,540,42.047611
-1515.47407,1000,43.404126
-813.741195,611,43.640122
-1204.482424,892,44.809152
-1154.763432,1000,45.226151
-925.05685,1000,45.65554
-1314.157441,896,46.902983
-1489.376186,1000,47.29398
-870.737424,801,48.455499
-646.064151,529,48.658497
-731.014181,453,48.831008
-98.297085,280,48.939008
-148.068353,207,49.869526
-453.932294,455,50.071527
-714.327772,469,50.333528
-90.990864,313,50.460527
-1083.624044,1000,51.706168
-1117.697119,621,51.966683
-63.014652,264,52.068682
-351.584844,471,52.251683
-119.588035,290,52.361684
-788.761522,959,53.612203
-159.218214,227,53.698204
-1101.085031,1000,54.086719
-494.895797,518,55.153239
-373.897276,470,55.335237
-625.037512,518,55.538526
-1343.645234,1000,56.907915
-1132.721643,871,57.246914
-201.19352,225,57.332914
-934.628641,1000,58.594435
-842.895375,497,58.786434
-2012.286636,1000,59.174944
-961.062811,626,60.297456
-431.511963,680,60.559783
-155.164275,282,60.669785
-207.041037,414,60.8273
-420.789204,784,62.003591
-904.212214,1000,62.442591
-84.717129,260,62.55459
-810.050053,481,63.6011
-1639.465509,954,63.977618
-22.810211,256,64.077617
-455.10931,503,65.091129
-1270.694115,1000,65.560892
-49.5309,268,65.70272
-824.915664,702,66.078605
-165.292442,221,67.032443
-897.716067,725,67.336445
-1036.536955,936,67.702448
-756.835753,702,68.862482
-456.900033,401,69.018482
-1932.79364,1000,69.41048
-94.693774,246,70.360987
-341.649111,572,70.608446
-121.265351,241,70.700445
-464.787387,465,70.881539
-1133.544988,1000,72.134862
-899.455243,1000,72.537867
-247.611717,259,72.635862
-81.215642,243,72.731864
-962.942774,575,73.805896
-168.924124,217,73.901901
-1520.249377,1000,74.293901
-681.318488,513,74.494897
-29.605318,228,75.415409
-27.52265,309,75.566711
-950.866227,563,75.871452
-751.491021,612,76.154371
-886.678688,549,77.217747
-1209.775705,1000,77.636748
-1290.509129,754,77.935266
-725.190448,662,79.056778
-422.382516,427,79.220778
-340.12165,1000,79.612777
-867.101667,695,80.854161
-292.262024,254,80.95216
-1164.046616,875,81.289162
-146.830104,281,82.230401
-1651.246774,1000,82.651403
-89.961714,243,82.744403
-125.843045,362,82.883918
-285.810366,477,83.906425
-479.420325,678,84.200426
-650.538255,465,84.379427
-252.762686,509,84.577427
-396.343582,453,85.643922
-1284.419007,1000,86.110533
-344.604139,604,86.346538
-291.252884,699,87.489832
-459.579645,449,87.668832
-529.048319,724,87.950359
-536.345373,1000,89.222867
-1117.681843,607,89.462868
-326.789403,803,89.777872
-229.400864,357,90.781806
-1553.159475,1000,91.18932
-169.123189,385,91.339315
-657.636538,519,92.404647
-171.373528,404,92.590651
-1590.629014,1000,92.982162
-1271.238308,1000,94.238672
-838.107857,1000,94.627675
-92.303057,252,94.731675
-383.531447,444,95.773902
-560.414473,584,96.037258
-1220.851528,1000,96.425258
18.495553,290,96.538258
-1381.835297,1000,97.797571
-60.998916,296,97.913085
-621.534123,673,98.172082
-1773.077941,1000,99.445604
-1164.729423,891,99.7906
-120.569808,299,99.904117
-827.071168,493,100.973737
-513.766993,626,101.217737
-563.148056,411,101.377737
-394.363092,652,102.486035
-101.141856,358,102.652035
-582.505755,751,102.944556
-704.637974,630,103.188556
-733.5345,1000,104.455068
-85.688838,253,104.556067
-72.246873,232,104.644068
-346.91626,484,104.828202
-94.408691,243,104.920202
-84.696963,283,105.90045
-75.760119,246,106.012539
-161.414007,308,106.134535
-81.4184,283,106.245537
-282.134147,414,106.411539
-422.559191,499,106.605396
-164.637048,428,107.657917
-83.343256,381,107.832433
-64.806017,242,107.927433
-52.755486,259,108.030433
-114.204616,323,108.15943
-176.311588,262,108.264433
-481.337553,312,109.25194
-44.053803,233,109.36294
18.801114,431,109.541942
-189.394583,360,109.682942
-1490.965911,860,110.023465
-241.679481,347,111.056944
-732.139079,547,111.287946
-190.595646,563,111.509947
-1121.069632,1000,112.773251
-301.00249,248,112.87676
-276.966025,416,113.041758
-162.136637,295,113.157759
-398.75679,378,113.30476
-796.428077,923,114.546272
-1321.928111,1000,114.931785
-116.22484,508,115.988203
-85.163512,289,116.126203
-579.688403,540,116.346205
-242.148862,276,116.451206
-853.991334,1000,117.697537
-840.488174,921,118.086049
-713.807142,1000,118.473047
-873.855284,694,119.611562
-210.105516,382,119.763559
-165.207304,370,119.910087
-493.581382,463,120.088084
-70.255565,251,121.04007
-92.479574,269,121.168073
-113.326007,293,121.291072
-94.885886,329,121.421071
-274.286907,955,121.795868
-64.124758,299,122.74338
-140.782527,330,122.89289
-245.657362,313,123.013891
-650.518672,1000,123.40889
-20.574834,281,124.367413
-36.849647,248,124.485411
-1638.244363,1000,124.887924
-97.353071,371,125.028924
-59.647529,320,125.159926
-299.5434,478,126.267459
-84.641198,312,126.392459
-151.776306,402,126.549943
-187.187471,381,126.698947
-80.372055,233,126.794947
-64.314596,285,126.905456
-112.571721,273,127.865981
-522.967034,366,128.067977
-344.47993,412,128.234981
-1538.296717,1000,128.630979
-362.884028,576,129.745489
-184.737413,338,129.878019
-222.44152,399,130.034019
-78.334843,390,130.185014
-234.270165,388,130.336015
-8.646252,240,131.33893
-112.065596,314,131.477933
-295.440215,355,131.618757
-434.810061,691,131.89127
-144.532359,273,131.995271
-249.563852,467,133.031786
-358.263288,564,133.264787
-115.776243,281,133.373787
-353.769965,440,133.546791
-93.382741,294,133.662789
-1109.147048,766,134.820299
-185.137496,458,134.999377
-944.748676,593,135.231373
-479.640064,599,136.339885
-967.219809,768,136.656624
-125.296425,279,136.764624
-87.339308,294,136.880139
-27.727055,389,137.033139
-852.420767,1000,138.29565
-850.200179,938,138.661651
-70.442733,295,139.61316
-198.480991,374,139.79016
-78.821675,464,139.978675
-1080.289498,859,140.35368
-396.693074,755,141.54531
-150.407271,466,141.727311
-167.617925,258,141.830832
-74.366408,282,141.94283
-482.933427,369,142.08283
-1146.600294,815,143.278348
-109.834264,368,143.420351
-622.636798,738,143.708351
-736.326175,449,144.743869
-1302.788937,820,145.091379
-759.224099,1000,145.482379
-335.176412,1000,146.772866
-371.0552,331,146.906394
-122.48151,389,147.05739
-843.106402,1000,148.32191
-58.644022,258,148.42191
-340.640564,1000,148.81291
-891.651654,464,149.838943
-105.94744,371,149.998941
-60.830825,314,150.120945
-56.716998,246,150.217942
-114.278667,312,150.338941
-86.742722,423,150.502945
-133.443651,375,151.506576
-401.61292,553,151.74034
-364.887453,437,151.912854
-387.720633,311,152.031854
-101.605787,454,152.205854
-126.71891,711,153.367365
-677.378321,503,153.576364
-143.769623,372,153.730363
-251.262835,650,154.838389
-37.299184,241,154.952389
-697.264746,501,155.154393
-402.27806,838,155.569446
-464.99486,477,156.691776
-1631.80109,1000,157.112297
-107.626769,367,157.252298
-17.81453,271,157.360298
-928.65702,484,158.411815
-149.215203,518,158.630817
-12.335601,268,158.733817
11.074624,271,158.839329
-506.436192,602,159.076334
-665.848211,461,160.124838
-78.713809,285,160.248844
-249.11758,540,160.458839
-160.938868,474,160.644204
-519.731518,764,161.822496
-325.034421,568,162.059613
-1240.191268,1000,162.449616
-909.937632,686,163.571124
-174.159943,316,163.693123
-425.754495,362,163.832127
-184.490501,597,164.062637
-60.706659,509,165.114146
-30.205901,435,165.302146
-172.581398,363,165.450147
-159.725201,294,165.590776
-183.770552,302,165.761517
-990.681399,846,167.051411
-45.059876,403,167.210412
-336.795564,624,167.452412
-724.687553,870,168.655931
-50.464445,296,168.784932
-360.623864,420,168.954456
-992.118301,816,169.277456
-346.275968,408,170.323969
-962.146962,912,170.706594
-1609.420352,1000,171.949415
-314.923998,441,172.155421
-501.194731,928,172.525418
-382.574597,421,172.687417
-1530.840472,1000,173.954445
-751.352727,522,174.158444
-796.640615,859,175.340955
-377.212797,557,175.606244
-423.470738,411,175.829287
-12.526354,274,175.984266
-72.820237,342,176.136501
-143.284481,310,176.253503
-120.013414,468,177.359048
-456.929856,486,177.553051
-447.296027,949,177.926563
-772.027615,602,179.027082
-96.012224,288,179.139084
-280.55058,458,179.316082
-550.864991,553,179.531082
-1366.154309,1000,180.787565
-516.533062,423,180.950077
-321.000415,444,181.137077
-263.513373,363,181.286082
-141.362242,498,182.350455
-464.6575,1000,182.747453
-237.23554,444,182.916968
-39.811281,650,184.028476
-520.783621,433,184.198478
-743.701812,726,184.478479
-689.010383,1000,185.788881
-239.902369,549,186.066702
-191.527131,283,186.1797
-483.394387,1000,187.424505
-402.996458,553,187.659506
-163.851513,583,187.886544
-406.082885,723,189.074061
-170.003523,650,189.363065
-259.202987,456,189.545065
-1165.589813,1000,190.780226
-62.283716,319,190.929752
-342.731412,511,191.129752
-119.236996,361,191.29075
-279.398313,568,191.512748
-715.768307,576,192.627107
-157.619298,482,192.818108
-13.239196,301,192.937626
-243.982213,531,193.145624
-204.167779,648,194.263137
-103.086053,283,194.381135
-247.187924,441,194.554134
-218.551232,291,194.667136
-47.634763,244,194.763134
-461.03228,954,196.043007
-20.361367,289,196.157527
-714.667947,509,196.357165
-168.837474,423,196.521203
-224.679673,460,197.554161
-351.363831,883,197.923291
-687.452656,679,198.186328
-56.941871,451,199.253243
-371.462102,499,199.469851
-80.85971,294,199.585012
-137.917549,337,199.716041
-332.397061,435,199.890077
-156.702201,297,200.006598
-43.564635,280,201.015744
-105.859193,271,201.140251
-297.298043,393,201.294765
-296.716965,607,201.537013
-162.560828,335,201.669535
-58.272034,401,202.677177
-522.725235,416,202.864722
-437.802795,643,203.115265
-293.891965,676,203.380296
-217.503446,317,204.355909
-73.077412,255,204.476422
-563.880837,1000,204.875003
-318.065873,476,205.064039
-130.698879,395,206.09547
-547.458054,405,206.267476
-11.871134,304,206.386473
-913.689012,491,206.578222
-43.600572,285,206.690222
-1068.200503,695,207.836731
-81.868133,425,208.009821
-1354.026605,1000,208.403821
-92.533699,410,209.411325
-337.112364,484,209.625331
-507.296916,573,209.851331
-730.118112,483,210.03984
-642.326101,635,211.152315
-271.50352,326,211.290318
-104.388585,283,211.410313
-693.100479,516,211.616144
-285.606255,469,211.798144
-105.159254,357,212.783657
-92.210487,406,212.965168
-214.589872,404,213.12417
-363.016466,548,213.34317
-79.276992,266,213.44717
-360.321785,492,214.49868
-378.966076,361,214.653682
-100.050828,323,214.778681
-233.046503,441,214.953195
-383.368287,1000,216.266457
-472.916631,788,216.584352
-372.804213,604,216.823354
-53.326981,522,217.872376
-266.892332,1000,218.283377
-169.80685,442,218.455376
-24.301343,381,218.603375
-10.002303,389,219.614894
-1042.572074,1000,220.016412
-206.442165,589,220.266409
-513.30004,872,221.49984
-342.048846,405,221.671643
-83.338897,254,221.770642
-163.036994,521,221.974161
-499.453438,752,223.128679
-788.272685,485,223.318678
-202.968033,504,223.513678
-476.76679,557,224.59019
-1131.266995,532,224.822191
-0.927558,330,224.952705
-323.606109,660,225.209705
-771.300285,1000,226.508596
-632.356881,548,226.725339
-337.499831,640,226.972852
7.681242,296,227.956362
-65.158647,351,228.118362
-78.183803,331,228.250362
-1223.204145,1000,228.647367
-83.475061,325,229.621874
-1025.578632,921,230.015918
-335.051812,328,230.141914
-632.817241,842,231.403296
-169.800764,713,231.731082
-213.505011,557,231.948594
-256.381547,346,232.084594
-522.63174,483,233.116104
-1670.699277,1000,233.536109
-157.905852,331,233.663104
-753.199129,418,233.827106
-2.322651,566,234.933135
-99.579363,522,235.142137
-398.643085,474,235.332137
-228.826586,539,235.545998
-93.196621,314,236.575803
-90.98356,394,236.751802
-159.106969,305,236.871855
-77.965204,421,237.035855
-185.906058,763,238.161362
-126.96324,285,238.290362
-194.687139,483,238.490364
-830.137738,776,238.792364
18.519023,279,238.899878
-301.201737,511,239.962387
-244.165287,356,240.111388
-854.811559,464,240.292388
-1118.78708,842,240.624198
-448.148213,413,241.647481
-184.690621,297,241.77848
-203.583749,406,241.967004
-167.676117,1000,242.360999
-132.28694,319,243.350079
-167.278585,283,243.468076
-179.857779,377,243.623079
-899.568674,502,243.822078
-107.533398,629,244.902627
-138.075019,580,245.155629
-315.335689,331,245.343629
-594.205334,336,245.514628
-37.885613,325,245.695448
-134.949668,421,246.77439
-584.906136,377,246.958446
86.369171,515,247.167447
-149.900735,464,247.350448
104.737604,514,247.55645
-177.998345,293,248.523957
-1209.589607,595,248.78396
-35.573742,260,248.886472
-601.484099,726,249.170468
-366.705646,352,250.132976
-49.936596,290,250.27198
-62.383313,316,250.405982
13.832621,386,250.559986
-36.340435,284,250.672985
143.854074,541,250.888507
-89.637336,363,251.897878
-309.567591,671,252.192832
-359.590804,435,252.367832
-220.566434,301,252.485829
-312.910994,749,253.649339
-261.128795,592,253.896857
-539.732685,680,254.165854
-794.051251,1000,255.430365
9.366568,316,255.568149
-157.275702,343,255.758693
-30.393312,863,256.179946
-169.432878,366,257.172302
-151.78662,467,257.364303
-226.195786,327,257.491307
-571.041742,672,257.754303
0.404394,506,258.826816
-2.162587,307,258.964333
-66.905617,710,259.240335
-153.947878,502,259.436333
-924.432424,1000,260.73907
92.400611,568,260.960586
-985.638804,740,261.25159
-224.844547,545,262.345493
-134.858474,633,262.595493
-43.662282,466,262.777493
47.349001,534,263.929516
43.678354,236,264.038519
-242.994706,623,264.289519
88.41938,270,264.395517
-419.419406,480,264.586521
-13.631675,292,264.702516
-499.076064,424,265.789006
-114.662359,385,265.989106
65.031077,253,266.093106
-115.523695,546,266.32111
-159.273837,542,267.388998
-278.055184,356,267.561998
-49.157995,283,267.679003
-254.520778,322,267.812002
-1339.228186,956,268.204529
-35.592442,267,269.144033
-108.453794,544,269.382033
-487.398361,955,269.760038
-208.223993,509,270.825694
-8.203419,645,271.109216
-32.9447,275,271.217213
261.970081,624,271.465217
3.393867,249,271.563262
-48.244498,353,272.572774
