#{"t_start": 1774933460.342109, "env_id": "None"}
r,l,t
240.16801,225,1.645972
293.800874,368,1.841076
500.352223,528,2.150291
292.430242,195,2.228928
321.511575,205,2.315438
258.972921,194,2.393717
243.168597,195,2.472064
283.317732,219,3.454777
336.447735,271,3.588543
314.017496,263,3.699848
105.087001,320,3.826906
276.195695,230,3.936922
196.597009,190,4.03105
287.716904,229,4.12688
109.90351,287,4.245726
250.523259,286,5.246759
280.321463,229,5.359971
289.095257,197,5.447902
269.903608,204,5.530817
344.256297,197,5.610838
358.578563,196,5.689736
276.191474,204,5.770976
334.84119,206,5.853472
225.855109,224,5.952148
251.068339,197,6.031872
276.086046,205,6.980844
288.069409,203,7.077575
213.005733,187,7.159933
322.839264,202,7.23991
222.874837,195,7.316361
432.471429,339,7.454012
269.904788,193,7.5306
309.358771,240,7.625574
171.201647,186,7.6994
327.659232,235,8.813324
328.134502,202,8.912995
192.671321,197,9.005639
272.608341,202,9.104648
259.725072,205,9.22062
342.116968,213,9.337332
253.429227,193,9.441481
310.075794,214,9.561165
228.735778,192,9.667944
262.838135,199,9.773371
310.145215,198,10.824557
340.950509,199,10.924748
266.913425,257,11.058024
410.4516,288,11.178619
320.116583,208,11.27476
239.44239,196,11.361366
265.558235,228,11.455374
392.813174,391,11.617818
302.428851,231,11.716578
310.809973,196,12.681316
179.968789,190,12.775378
261.504329,377,12.930362
302.450885,209,13.014496
245.205163,198,13.096497
267.945425,197,13.1733
172.32687,265,13.27876
302.570243,199,13.356823
255.964242,200,13.435963
278.164348,217,14.435381
237.308771,208,14.538577
306.518167,201,14.625608
269.294271,246,14.734637
304.902132,198,14.812963
337.231811,199,14.894431
339.204692,316,15.019714
374.030254,265,15.128695
247.480786,301,16.145144
277.418438,197,16.253445
333.190423,219,16.531642
256.315941,279,16.683259
284.912341,197,16.786289
281.106775,198,16.882772
279.884121,195,16.993338
229.805141,219,17.100428
293.042565,230,17.208411
388.041746,198,17.312297
254.038825,233,18.414699
288.761824,198,18.517034
214.386179,322,18.65725
233.225571,406,18.882102
321.148655,199,18.980617
282.512908,197,19.082048
344.131745,257,19.233466
226.279768,262,19.387383
298.382586,326,20.636275
303.853071,205,20.745251
229.40549,194,20.823188
331.623123,204,20.908181
303.145119,202,20.989351
272.948281,193,21.071429
327.79779,201,21.189375
222.729077,187,21.277057
210.385615,200,21.364126
304.948532,199,22.353381
274.299764,197,22.44869
270.273809,198,22.539782
198.653171,186,22.612147
201.71195,193,22.687563
286.795801,197,22.766176
250.427121,208,22.850772
460.508738,352,22.992952
275.407245,198,23.080644
266.053239,309,24.050513
318.402689,350,24.222015
277.226226,191,24.302873
251.3127,203,24.387255
304.661484,197,24.463952
258.604816,198,24.543228
359.679633,262,24.64752
289.570712,230,24.741065
207.850074,335,24.880707
296.808702,191,25.826005
250.941449,203,25.925233
277.247991,267,26.041972
259.857685,194,26.126126
286.51502,193,26.202907
286.029622,202,26.281001
324.054277,197,26.362113
371.500959,205,26.444215
305.264206,193,26.525902
281.459415,197,26.604498
287.649585,202,27.583095
250.799861,227,27.69529
313.852585,218,27.786186
268.564451,278,27.899312
447.870471,217,27.984979
296.093634,197,28.065574
253.227236,222,28.157378
261.788627,209,28.24406
340.304338,216,28.333148
342.585665,217,29.290275
228.004834,219,29.401542
281.530781,195,29.505899
183.218507,288,29.621661
264.34342,275,29.761841
319.306653,195,29.845098
242.89831,201,29.935897
277.659252,195,30.014273
287.338125,197,30.09286
237.200306,216,31.050696
290.512982,197,31.149868
296.182683,233,31.473094
269.361525,205,31.569921
301.908795,267,31.682799
310.335821,207,31.767456
364.452674,201,31.850085
247.578886,319,31.97979
280.329495,189,32.055729
209.143184,246,33.028506
290.528774,192,33.121095
309.719457,227,33.233913
304.391416,200,33.313018
316.385693,201,33.393267
314.932784,370,33.542681
275.020983,227,33.639967
59.699574,433,33.814474
298.241194,197,34.769844
249.867935,195,34.867647
289.133954,199,34.961283
407.60443,201,35.568975
-80.138571,327,35.702688
269.151132,235,35.79838
431.946435,206,35.883573
303.281807,239,35.982722
296.752669,194,36.062858
420.280426,208,36.160543
230.873804,195,37.287961
276.066947,205,37.41437
338.98468,220,37.547042
325.954393,199,37.908957
324.825311,208,38.004218
285.600095,221,38.097983
318.273789,207,38.182662
149.52998,285,38.302752
251.301798,207,38.384888
239.654167,200,39.349691
263.525023,196,39.448046
248.500773,216,39.547658
303.973438,219,39.637944
203.939453,250,39.738424
229.438824,352,39.884707
251.189545,199,39.963796
264.301298,250,40.063911
245.778928,192,40.139322
234.845843,190,41.078787
265.212583,191,41.16992
368.427197,243,41.274724
360.254339,213,41.363034
261.006627,268,41.470082
364.636836,213,41.555216
169.814968,213,41.63895
398.28293,218,41.727145
350.60114,207,41.808858
244.914856,235,42.804801
456.078079,196,42.89845
217.365353,185,42.985577
271.624786,360,43.128716
251.259057,230,43.395329
247.862831,205,43.478887
177.505683,284,43.592326
290.200501,192,43.681103
275.84641,227,43.774003
308.399319,207,44.824901
219.309768,352,45.010792
278.911455,209,45.112427
298.839418,211,45.208762
262.677541,285,45.325242
379.265434,242,45.420473
292.205746,194,45.497607
280.649369,210,45.580236
271.109897,193,45.659887
288.848309,200,46.558954
271.242473,218,46.679156
292.306919,260,46.787488
339.885876,203,46.868172
322.948304,198,46.946857
203.206201,251,47.051604
300.318603,200,47.142241
363.876562,206,47.249431
-81.341286,391,48.635292
330.825318,197,48.745022
260.585552,196,48.852237
245.958305,195,48.950905
424.60472,428,49.214494
166.763252,325,49.408439
255.555685,199,49.525344
277.266129,341,49.710269
349.265,204,50.798554
310.290634,211,50.903183
258.789792,193,51.000921
318.075166,189,51.07943
352.091108,264,51.188668
271.967985,231,51.281055
312.895717,206,51.368731
313.064542,233,51.464372
344.994974,250,51.56572
185.844824,295,52.623084
179.558603,218,52.733464
253.968026,205,52.877224
231.602168,206,53.075363
99.068976,317,53.252016
251.866024,224,53.349347
364.965366,221,53.445562
295.82638,198,53.526892
216.095333,195,53.605693
180.603579,352,54.912005
307.739577,205,55.023242
271.505914,196,55.129807
266.597988,269,55.242219
243.841894,194,55.319438
312.127134,201,55.400623
296.27192,193,55.478312
218.574291,358,55.626691
199.432084,190,55.701905
352.290618,407,56.717667
379.033148,307,56.844033
260.284028,229,56.933036
308.568604,224,57.019206
287.211929,220,57.106932
19.700918,339,57.237859
243.874161,196,57.313538
297.012356,226,58.200318
242.983353,236,58.29827
377.429187,352,58.451275
302.3615,197,58.528027
280.622614,340,58.660445
314.554375,233,58.75107
248.691047,196,58.828288
337.329232,272,58.935151
291.222699,238,59.832978
262.192988,212,59.927133
241.464723,193,60.018806
334.61949,238,60.113114
321.481382,202,60.192206
232.58927,375,60.338359
345.059302,194,60.412917
247.389203,256,60.511992
354.685164,255,60.610585
245.271183,249,61.50199
127.674719,347,61.654951
330.319437,224,61.762388
262.318612,190,61.840772
119.428964,318,61.970647
280.44134,241,62.100058
217.013161,192,62.212904
176.469873,396,63.657066
285.953003,209,63.766927
347.858941,215,63.880073
334.82791,200,63.969063
335.637725,298,64.101916
364.297387,193,64.188013
290.523513,191,64.269276
296.247846,198,64.354023
275.537017,235,64.45928
500.195771,385,65.565089
389.798282,270,65.703515
142.378434,308,65.842297
183.03613,297,65.968802
318.800569,299,66.090477
272.954033,285,66.204744
261.849808,194,66.281996
396.040719,239,66.380751
209.28552,276,67.381839
304.842739,215,67.481953
275.502223,270,67.589496
408.987059,218,67.68155
499.976289,443,67.892864
275.766998,194,67.981481
346.007745,202,68.070718
282.829033,339,69.102463
266.267459,271,69.247982
205.066626,309,69.426532
331.856752,211,69.545283
351.593907,210,69.632922
280.831295,205,69.720298
325.899563,266,69.827249
330.426429,262,69.933496
201.263267,296,70.918606
332.339835,206,71.022243
267.614095,194,71.117444
324.927775,204,71.207696
294.440921,206,71.296633
318.221673,195,71.38761
284.898551,198,71.468533
274.854526,254,71.577732
256.522088,206,71.660525
386.710598,386,72.733695
300.225545,291,72.87737
356.379117,392,73.041412
339.240242,289,73.162182
468.622313,371,73.318075
299.700107,415,73.484853
343.63901,268,74.484368
334.810046,339,74.656781
405.086452,242,74.758612
159.808194,328,74.896938
303.061535,313,75.021407
453.170023,421,75.187469
300.620913,203,75.267878
331.10659,210,76.214642
318.919809,199,76.310398
235.283623,247,76.427054
230.59161,189,76.504352
311.498459,211,76.587169
225.924609,185,76.659753
273.567343,228,76.752381
325.633732,239,76.850015
500.683283,388,77.009252
357.889919,210,78.183434
368.767717,202,78.284644
352.627598,290,78.415063
253.295931,212,78.49989
238.845657,190,78.589482
218.758486,233,78.692729
452.558888,359,78.849422
326.070054,346,78.988224
303.79394,221,79.96123
332.467149,343,80.128029
276.536075,241,80.228539
-8.299043,339,80.374708
228.671615,216,80.467712
338.439741,347,80.622277
384.150316,264,80.727995
457.779887,339,81.733856
305.76362,318,81.89435
410.647742,320,82.035445
340.42855,193,82.120186
298.614038,216,82.206184
316.605248,209,82.293857
294.571613,368,82.443289
357.378253,211,82.533179
240.484512,262,83.518512
248.896048,209,83.62222
410.426041,235,83.719785
385.558162,215,83.809282
206.928452,223,83.901154
324.95066,203,83.981612
343.625434,216,84.066123
214.945852,226,84.154526
192.504292,357,85.157578
397.006547,192,85.252324
484.583381,477,85.464688
295.721926,200,85.545548
295.040639,196,85.624494
451.515674,449,85.816599
283.381903,198,85.89599
378.943948,351,86.968671
320.667742,234,87.085319
260.89837,217,87.185117
282.298517,232,87.277109
399.230114,403,87.440298
308.944049,205,87.529296
291.259708,198,87.621278
359.424948,206,87.707007
373.956656,221,87.801269
299.676362,336,88.901204
404.580886,271,89.026657
231.165155,191,89.129657
402.672778,385,89.344631
310.751778,343,89.533194
241.859374,207,89.63248
253.859266,197,89.717168
356.965446,202,89.798708
275.430175,308,90.788545
606.199007,357,90.941224
365.16759,231,91.034283
310.646249,248,91.134157
275.560353,211,91.216448
297.881715,350,91.355368
403.315592,326,91.496383
379.679631,322,92.768947
356.463041,374,92.964325
235.353981,316,93.131333
265.472193,263,93.243685
322.947812,197,93.324076
196.881432,368,93.473154
432.11703,485,94.609539
453.520392,396,94.794239
188.933618,279,94.907296
497.273412,440,95.094309
533.471992,455,95.293181
443.441345,430,96.439985
353.923058,198,96.53926
452.236165,323,96.67644
387.681903,275,96.789529
415.666034,382,96.975178
390.735122,206,97.095858
342.039475,287,97.234428
570.964847,410,98.399532
430.443243,230,98.516907
590.995078,564,98.784849
293.557485,277,98.899005
268.592765,273,99.010665
486.218525,446,99.25058
338.627994,230,100.235135
337.546299,227,100.344854
261.497582,243,100.445158
429.89745,403,100.608432
390.58316,323,100.739286
383.630066,263,100.847165
156.860545,289,100.96971
357.728983,241,102.054115
263.43057,406,102.240696
466.47238,363,102.387858
251.913056,201,102.46969
336.179686,205,102.555268
422.294737,270,102.670417
374.654381,222,102.760581
542.573424,389,103.803955
320.686375,267,103.935325
406.312038,206,104.01696
384.708784,304,104.142147
328.033269,517,104.350584
385.95838,528,104.567887
398.830821,242,105.540689
413.826319,220,105.656119
169.697508,371,105.858989
398.419808,339,106.040562
452.635766,538,106.256191
136.136119,499,107.676215
451.728695,357,107.869463
316.744929,371,108.062748
131.112729,389,108.267724
372.94172,448,108.501045
412.70294,287,108.62044
363.729557,321,109.945176
370.266752,225,110.056017
519.036461,430,110.228089
279.342529,252,110.329016
317.320723,295,110.447989
351.591662,324,110.597677
373.441419,373,111.632798
148.886154,389,111.823054
215.618096,278,111.948447
374.342918,334,112.087734
140.521815,313,112.218049
347.955951,341,112.366463
417.471225,313,112.500104
443.517211,266,113.540563
453.461938,372,113.735326
448.533718,474,113.938017
439.188541,450,114.134134
264.265315,243,114.240268
272.989485,290,115.29043
501.528893,611,115.578959
330.517943,250,115.680255
506.186453,367,115.830427
332.580505,261,115.939056
373.059618,336,116.075038
498.435672,261,117.071973
475.742634,367,117.252666
606.326861,465,117.478721
740.284338,443,117.726004
593.820997,456,117.980227
333.724839,399,119.093931
279.281742,346,119.289164
550.983067,429,119.526057
