#{"t_start": 1775033312.409357, "env_id": "None"}
r,l,t
553.943959,405,1.137225
474.379573,409,1.292225
777.844915,444,1.460225
741.366713,441,1.627225
536.563718,411,2.553744
703.259312,440,2.738744
610.479761,420,2.899746
805.669947,442,3.072773
443.592883,410,3.230772
900.59807,461,4.154281
609.722145,413,4.328283
539.338565,414,4.487283
842.130217,456,4.661283
603.495074,441,4.829882
635.389483,442,5.769392
892.077568,469,5.953238
555.26877,424,6.117748
743.58727,432,6.282749
669.302487,441,7.208794
640.866638,409,7.376793
542.765721,424,7.541794
464.089169,388,7.692794
593.622998,431,7.857794
450.697135,401,8.855098
373.702805,412,9.045615
466.092422,398,9.200615
520.833868,417,9.360615
671.127651,446,9.533615
329.810835,401,10.593383
435.325332,409,10.782382
776.820478,436,10.956203
627.499764,416,11.142712
532.272442,427,11.311713
546.170613,420,12.318222
475.867898,403,12.505222
565.319937,429,12.670222
977.430952,441,12.841224
812.889902,435,13.014734
546.113038,406,14.038247
453.56907,423,14.227247
476.213437,404,14.389246
559.02036,418,14.565246
318.648786,392,14.716249
703.880041,449,15.931145
430.570242,394,16.101659
727.309325,444,16.273659
547.132373,415,16.432658
488.68225,409,16.591659
696.015001,430,17.644173
505.391314,409,17.820172
824.887051,449,18.013686
324.695828,531,18.231685
629.945959,432,19.258196
833.844302,450,19.469197
620.944066,432,19.639197
547.549619,417,19.799197
656.451463,414,20.019946
836.546499,464,21.115115
696.897074,438,21.323114
481.365459,401,21.484114
683.658917,443,21.662114
640.758269,435,21.830115
610.698961,428,22.892624
554.546648,408,23.068144
456.034752,425,23.233143
657.744742,428,23.398143
877.415918,433,23.577143
771.321447,431,24.651654
574.782012,420,24.850182
720.594418,445,25.034215
350.523398,399,25.258216
551.394686,430,25.570215
680.261668,436,26.686225
544.101022,407,26.844226
533.90213,416,27.008739
687.928653,438,27.187737
354.226771,392,28.190247
671.639797,449,28.403247
481.467227,420,28.569248
456.859365,397,28.726247
508.128715,412,28.884248
479.661716,418,29.964481
644.689618,425,30.183269
769.404231,435,30.375771
915.450866,451,30.57477
535.643074,413,30.74077
466.317722,409,31.775344
649.444961,426,31.961349
735.452572,431,32.140856
773.023015,444,32.314856
591.201778,422,32.480856
774.551912,443,33.522366
786.472019,453,33.712366
472.447579,392,33.863366
503.701588,413,34.045879
969.022429,489,34.240879
473.123236,403,35.266621
244.088182,408,35.430622
556.01368,419,35.595624
479.024726,411,35.755621
772.961103,441,36.787178
636.630439,426,36.991687
502.125324,413,37.156687
467.755174,401,37.315688
626.451745,424,37.497688
744.517215,437,38.5262
669.987546,433,38.7292
605.622032,423,38.8932
483.755969,417,39.061711
562.270844,405,39.219711
659.327421,433,40.446122
334.663537,385,40.629123
711.52955,438,40.805123
642.621227,423,40.97744
576.425692,416,41.14544
595.696085,425,42.194476
463.482328,409,42.375476
987.080035,458,42.560476
559.846114,423,42.723475
595.799649,430,42.891475
537.733545,421,43.917987
774.179172,432,44.104495
782.184796,445,44.301496
378.106161,388,44.452497
696.331493,440,44.623497
525.871481,414,45.670824
733.43957,442,45.852577
641.434199,434,46.027088
728.197917,445,46.202088
602.611771,439,47.22561
905.060645,463,47.441612
781.630169,438,47.614611
658.806761,428,47.792611
562.320299,410,47.952611
775.749685,451,48.998642
545.685698,420,49.182643
647.120255,419,49.346642
731.345292,439,49.517642
809.161639,444,49.690644
357.750603,407,50.739146
723.421249,440,50.922945
688.297131,432,51.108458
814.998346,441,51.287458
676.214261,430,51.45346
745.714818,439,52.574975
585.215905,435,52.745975
622.745402,458,52.924977
692.187419,445,53.099491
624.842161,401,54.109999
632.976675,430,54.308
356.409618,388,54.461
659.515328,426,54.641
569.672075,419,54.802
1030.505008,482,56.06959
581.140041,432,56.264592
773.412129,443,56.437591
663.738715,407,56.60759
842.046448,456,56.78359
628.269161,413,57.81861
636.1202,437,58.375309
683.005254,412,58.536309
530.645879,426,58.703309
933.743795,439,58.875309
457.875374,409,59.915781
456.5978,406,60.153309
682.189489,429,60.368808
628.656107,430,60.537282
749.317316,434,61.563583
714.379221,444,61.773583
646.746505,432,61.941583
724.809278,437,62.447722
497.812938,408,62.627717
821.312384,447,64.31449
777.738513,444,64.509492
887.580786,444,64.686492
715.055438,440,64.873347
814.876059,443,65.053875
704.318092,433,66.107094
659.749344,420,66.285094
694.790789,439,66.455094
738.519619,439,66.630096
602.442482,430,66.798101
618.63761,422,67.846606
633.367577,425,68.018115
816.332816,438,68.190115
712.891141,444,68.37512
714.618242,424,69.398626
676.19959,426,69.588626
476.046098,397,69.746631
704.846793,419,69.951278
787.080487,443,70.23209
732.351065,437,71.425257
776.640084,453,71.628259
765.8708,433,71.824262
581.357594,434,71.993787
682.374646,427,72.163782
571.960247,412,73.205308
852.595355,454,73.40131
906.798526,464,73.58331
364.090453,391,73.738307
710.485444,452,73.917305
527.671396,421,75.02543
723.005903,437,75.211432
524.404938,408,75.369939
505.25653,412,75.528939
552.80316,420,76.540226
397.696981,408,76.733228
539.437473,413,76.896229
488.850536,385,77.049741
570.501759,424,77.214742
850.540389,453,78.242252
822.231398,462,78.459257
688.735339,430,78.643254
799.646643,427,78.816254
684.839691,432,78.98326
513.300599,391,80.0121
790.565949,431,80.248043
765.159375,445,80.433269
1033.12003,468,80.616271
803.852634,443,80.796269
824.425035,434,81.871881
535.941564,410,82.052411
572.259035,410,82.212406
669.070086,442,82.385411
657.801501,426,82.550411
544.258787,405,83.600923
651.522491,433,83.778924
592.024036,413,83.940925
803.66878,451,84.119445
590.039473,431,85.156521
467.339183,418,85.409523
813.704706,455,85.606522
435.214112,387,85.762522
686.94631,448,85.937289
364.340574,385,86.952805
769.796968,441,87.157315
652.67327,437,87.331314
765.727137,449,87.507315
623.767736,414,87.675315
602.623338,428,88.740837
439.999292,403,88.916839
757.699172,437,89.089368
722.664872,439,89.259364
813.975176,447,89.433365
790.365501,433,90.494047
625.349318,429,90.670051
690.894652,437,90.840894
624.20352,424,91.006409
742.976132,436,92.040923
675.874369,416,92.242921
652.958098,420,92.426921
885.656195,430,92.596926
536.952659,414,92.758921
766.415303,428,93.78843
530.223386,414,93.983438
744.012748,440,94.158952
658.916046,449,94.334955
435.300014,399,94.494951
616.432377,426,95.546781
462.767551,411,95.735783
873.612504,454,95.92358
863.656304,439,96.101104
702.125328,433,96.270101
